condition	benchmark	data_lang	instr_lang	n_seeds	mean	std	min	max
condition-2-zh-20k	belebele	ALL	en	1	+1.5138	NA	+1.5138	+1.5138
condition-2-zh-20k	belebele	en	en	1	+1.6100	NA	+1.6100	+1.6100
condition-2-zh-20k	belebele	es	en	1	+1.4450	NA	+1.4450	+1.4450
condition-2-zh-20k	belebele	ur	en	1	+1.1100	NA	+1.1100	+1.1100
condition-2-zh-20k	belebele	zh	en	1	+1.8900	NA	+1.8900	+1.8900
condition-2-zh-20k	belebele	ALL	zh	1	+1.2650	NA	+1.2650	+1.2650
condition-2-zh-20k	belebele	en	zh	1	+0.5550	NA	+0.5550	+0.5550
condition-2-zh-20k	belebele	es	zh	1	+1.1100	NA	+1.1100	+1.1100
condition-2-zh-20k	belebele	ur	zh	1	+2.7800	NA	+2.7800	+2.7800
condition-2-zh-20k	belebele	zh	zh	1	+0.6150	NA	+0.6150	+0.6150
condition-2-zh-20k	csqa	ALL	en	1	+0.5625	NA	+0.5625	+0.5625
condition-2-zh-20k	csqa	en	en	1	+0.4500	NA	+0.4500	+0.4500
condition-2-zh-20k	csqa	es	en	1	+0.8000	NA	+0.8000	+0.8000
condition-2-zh-20k	csqa	ur	en	1	+0.3500	NA	+0.3500	+0.3500
condition-2-zh-20k	csqa	zh	en	1	+0.6500	NA	+0.6500	+0.6500
condition-2-zh-20k	csqa	ALL	zh	1	+1.7125	NA	+1.7125	+1.7125
condition-2-zh-20k	csqa	en	zh	1	+0.3500	NA	+0.3500	+0.3500
condition-2-zh-20k	csqa	es	zh	1	+2.2000	NA	+2.2000	+2.2000
condition-2-zh-20k	csqa	ur	zh	1	+3.5500	NA	+3.5500	+3.5500
condition-2-zh-20k	csqa	zh	zh	1	+0.7500	NA	+0.7500	+0.7500
condition-2-zh-20k	sib200	ALL	en	1	-2.3887	NA	-2.3887	-2.3887
condition-2-zh-20k	sib200	en	en	1	-0.9800	NA	-0.9800	-0.9800
condition-2-zh-20k	sib200	es	en	1	-1.9600	NA	-1.9600	-1.9600
condition-2-zh-20k	sib200	ur	en	1	-2.9400	NA	-2.9400	-2.9400
condition-2-zh-20k	sib200	zh	en	1	-3.6750	NA	-3.6750	-3.6750
condition-2-zh-20k	sib200	ALL	zh	1	+0.9187	NA	+0.9187	+0.9187
condition-2-zh-20k	sib200	en	zh	1	-2.4500	NA	-2.4500	-2.4500
condition-2-zh-20k	sib200	es	zh	1	+1.9600	NA	+1.9600	+1.9600
condition-2-zh-20k	sib200	ur	zh	1	+3.9200	NA	+3.9200	+3.9200
condition-2-zh-20k	sib200	zh	zh	1	+0.2450	NA	+0.2450	+0.2450
condition-2-zh-20k	xnli	ALL	en	1	+0.5363	NA	+0.5363	+0.5363
condition-2-zh-20k	xnli	en	en	1	+0.4450	NA	+0.4450	+0.4450
condition-2-zh-20k	xnli	es	en	1	+0.8000	NA	+0.8000	+0.8000
condition-2-zh-20k	xnli	ur	en	1	+1.0100	NA	+1.0100	+1.0100
condition-2-zh-20k	xnli	zh	en	1	-0.1100	NA	-0.1100	-0.1100
condition-2-zh-20k	xnli	ALL	zh	1	+4.4275	NA	+4.4275	+4.4275
condition-2-zh-20k	xnli	en	zh	1	+0.4000	NA	+0.4000	+0.4000
condition-2-zh-20k	xnli	es	zh	1	+4.9500	NA	+4.9500	+4.9500
condition-2-zh-20k	xnli	ur	zh	1	+6.1200	NA	+6.1200	+6.1200
condition-2-zh-20k	xnli	zh	zh	1	+6.2400	NA	+6.2400	+6.2400
condition-2-zh-5k	belebele	ALL	en	3	+1.3562	0.0421	+1.3200	+1.4025
condition-2-zh-5k	belebele	en	en	3	+0.8317	0.1675	+0.6650	+1.0000
condition-2-zh-5k	belebele	es	en	3	+1.6467	0.2599	+1.4450	+1.9400
condition-2-zh-5k	belebele	ur	en	3	+1.1867	0.4437	+0.7250	+1.6100
condition-2-zh-5k	belebele	zh	en	3	+1.7600	0.3046	+1.5550	+2.1100
condition-2-zh-5k	belebele	ALL	zh	3	+2.1717	0.0657	+2.0975	+2.2225
condition-2-zh-5k	belebele	en	zh	3	+1.1850	0.3388	+0.8900	+1.5550
condition-2-zh-5k	belebele	es	zh	3	+3.0383	0.2504	+2.7800	+3.2800
condition-2-zh-5k	belebele	ur	zh	3	+2.9817	0.1270	+2.8350	+3.0550
condition-2-zh-5k	belebele	zh	zh	3	+1.4817	0.2818	+1.2200	+1.7800
condition-2-zh-5k	csqa	ALL	en	3	-0.0458	0.3003	-0.3375	+0.2625
condition-2-zh-5k	csqa	en	en	3	-0.0167	0.4010	-0.4000	+0.4000
condition-2-zh-5k	csqa	es	en	3	+0.4167	0.4805	-0.1000	+0.8500
condition-2-zh-5k	csqa	ur	en	3	-0.2333	0.2363	-0.5000	-0.0500
condition-2-zh-5k	csqa	zh	en	3	-0.3500	0.3969	-0.8000	-0.0500
condition-2-zh-5k	csqa	ALL	zh	3	+1.4125	0.3286	+1.1750	+1.7875
condition-2-zh-5k	csqa	en	zh	3	+0.1500	0.4444	-0.2000	+0.6500
condition-2-zh-5k	csqa	es	zh	3	+1.5167	0.4368	+1.1500	+2.0000
condition-2-zh-5k	csqa	ur	zh	3	+2.5333	0.4010	+2.1500	+2.9500
condition-2-zh-5k	csqa	zh	zh	3	+1.4500	0.1000	+1.3500	+1.5500
condition-2-zh-5k	sib200	ALL	en	3	-2.0212	0.4417	-2.3887	-1.5312
condition-2-zh-5k	sib200	en	en	3	-1.6333	0.7485	-2.4500	-0.9800
condition-2-zh-5k	sib200	es	en	3	-1.7150	0.4244	-1.9600	-1.2250
condition-2-zh-5k	sib200	ur	en	3	-1.3067	0.3742	-1.7150	-0.9800
condition-2-zh-5k	sib200	zh	en	3	-3.4300	0.8834	-4.4100	-2.6950
condition-2-zh-5k	sib200	ALL	zh	3	+3.4504	1.5107	+1.7150	+4.4713
condition-2-zh-5k	sib200	en	zh	3	+0.6533	1.2086	-0.7350	+1.4700
condition-2-zh-5k	sib200	es	zh	3	+4.0017	1.1578	+2.6950	+4.9000
condition-2-zh-5k	sib200	ur	zh	3	+6.9417	2.6425	+3.9200	+8.8200
condition-2-zh-5k	sib200	zh	zh	3	+2.2050	1.0679	+0.9800	+2.9400
condition-2-zh-5k	xnli	ALL	en	3	+0.4204	0.1870	+0.2050	+0.5413
condition-2-zh-5k	xnli	en	en	3	+0.4333	0.0473	+0.3800	+0.4700
condition-2-zh-5k	xnli	es	en	3	+0.7050	0.0427	+0.6650	+0.7500
condition-2-zh-5k	xnli	ur	en	3	+0.5467	0.3164	+0.2000	+0.8200
condition-2-zh-5k	xnli	zh	en	3	-0.0033	0.8558	-0.8800	+0.8300
condition-2-zh-5k	xnli	ALL	zh	3	+3.6071	0.4178	+3.2062	+4.0400
condition-2-zh-5k	xnli	en	zh	3	-0.0300	0.1323	-0.1800	+0.0700
condition-2-zh-5k	xnli	es	zh	3	+4.7400	0.1513	+4.5700	+4.8600
condition-2-zh-5k	xnli	ur	zh	3	+4.1883	1.5381	+2.4350	+5.3100
condition-2-zh-5k	xnli	zh	zh	3	+5.5300	0.4789	+5.0900	+6.0400
condition-3-zh-5k	belebele	ALL	en	1	+1.4563	NA	+1.4563	+1.4563
condition-3-zh-5k	belebele	en	en	1	+1.6100	NA	+1.6100	+1.6100
condition-3-zh-5k	belebele	es	en	1	+1.7750	NA	+1.7750	+1.7750
condition-3-zh-5k	belebele	ur	en	1	+1.0000	NA	+1.0000	+1.0000
condition-3-zh-5k	belebele	zh	en	1	+1.4400	NA	+1.4400	+1.4400
condition-3-zh-5k	belebele	ALL	zh	1	+0.9575	NA	+0.9575	+0.9575
condition-3-zh-5k	belebele	en	zh	1	+0.1100	NA	+0.1100	+0.1100
condition-3-zh-5k	belebele	es	zh	1	+1.4450	NA	+1.4450	+1.4450
condition-3-zh-5k	belebele	ur	zh	1	+1.6100	NA	+1.6100	+1.6100
condition-3-zh-5k	belebele	zh	zh	1	+0.6650	NA	+0.6650	+0.6650
condition-3-zh-5k	csqa	ALL	en	1	+1.2625	NA	+1.2625	+1.2625
condition-3-zh-5k	csqa	en	en	1	+0.2500	NA	+0.2500	+0.2500
condition-3-zh-5k	csqa	es	en	1	+2.3500	NA	+2.3500	+2.3500
condition-3-zh-5k	csqa	ur	en	1	+1.1500	NA	+1.1500	+1.1500
condition-3-zh-5k	csqa	zh	en	1	+1.3000	NA	+1.3000	+1.3000
condition-3-zh-5k	csqa	ALL	zh	1	+0.7125	NA	+0.7125	+0.7125
condition-3-zh-5k	csqa	en	zh	1	+0.8000	NA	+0.8000	+0.8000
condition-3-zh-5k	csqa	es	zh	1	-0.4500	NA	-0.4500	-0.4500
condition-3-zh-5k	csqa	ur	zh	1	+2.6500	NA	+2.6500	+2.6500
condition-3-zh-5k	csqa	zh	zh	1	-0.1500	NA	-0.1500	-0.1500
condition-3-zh-5k	sib200	ALL	en	1	-3.3075	NA	-3.3075	-3.3075
condition-3-zh-5k	sib200	en	en	1	-3.4300	NA	-3.4300	-3.4300
condition-3-zh-5k	sib200	es	en	1	-3.6750	NA	-3.6750	-3.6750
condition-3-zh-5k	sib200	ur	en	1	-2.9400	NA	-2.9400	-2.9400
condition-3-zh-5k	sib200	zh	en	1	-3.1850	NA	-3.1850	-3.1850
condition-3-zh-5k	sib200	ALL	zh	1	+0.9800	NA	+0.9800	+0.9800
condition-3-zh-5k	sib200	en	zh	1	-1.9600	NA	-1.9600	-1.9600
condition-3-zh-5k	sib200	es	zh	1	+3.4300	NA	+3.4300	+3.4300
condition-3-zh-5k	sib200	ur	zh	1	+2.2050	NA	+2.2050	+2.2050
condition-3-zh-5k	sib200	zh	zh	1	+0.2450	NA	+0.2450	+0.2450
condition-3-zh-5k	xnli	ALL	en	1	+2.7925	NA	+2.7925	+2.7925
condition-3-zh-5k	xnli	en	en	1	+2.8450	NA	+2.8450	+2.8450
condition-3-zh-5k	xnli	es	en	1	+3.9300	NA	+3.9300	+3.9300
condition-3-zh-5k	xnli	ur	en	1	+0.8200	NA	+0.8200	+0.8200
condition-3-zh-5k	xnli	zh	en	1	+3.5750	NA	+3.5750	+3.5750
condition-3-zh-5k	xnli	ALL	zh	1	+3.2588	NA	+3.2588	+3.2588
condition-3-zh-5k	xnli	en	zh	1	-0.1600	NA	-0.1600	-0.1600
condition-3-zh-5k	xnli	es	zh	1	+4.5400	NA	+4.5400	+4.5400
condition-3-zh-5k	xnli	ur	zh	1	+5.8100	NA	+5.8100	+5.8100
condition-3-zh-5k	xnli	zh	zh	1	+2.8450	NA	+2.8450	+2.8450
condition-5-es-5k	belebele	ALL	en	1	+0.3325	NA	+0.3325	+0.3325
condition-5-es-5k	belebele	en	en	1	+1.4450	NA	+1.4450	+1.4450
condition-5-es-5k	belebele	es	en	1	+0.6100	NA	+0.6100	+0.6100
condition-5-es-5k	belebele	ur	en	1	-0.2800	NA	-0.2800	-0.2800
condition-5-es-5k	belebele	zh	en	1	-0.4450	NA	-0.4450	-0.4450
condition-5-es-5k	belebele	ALL	es	1	+1.0275	NA	+1.0275	+1.0275
condition-5-es-5k	belebele	en	es	1	+2.3900	NA	+2.3900	+2.3900
condition-5-es-5k	belebele	es	es	1	+0.0550	NA	+0.0550	+0.0550
condition-5-es-5k	belebele	ur	es	1	+0.0000	NA	+0.0000	+0.0000
condition-5-es-5k	belebele	zh	es	1	+1.6650	NA	+1.6650	+1.6650
condition-5-es-5k	csqa	ALL	en	1	-2.3750	NA	-2.3750	-2.3750
condition-5-es-5k	csqa	en	en	1	-0.4000	NA	-0.4000	-0.4000
condition-5-es-5k	csqa	es	en	1	-2.3500	NA	-2.3500	-2.3500
condition-5-es-5k	csqa	ur	en	1	-3.6500	NA	-3.6500	-3.6500
condition-5-es-5k	csqa	zh	en	1	-3.1000	NA	-3.1000	-3.1000
condition-5-es-5k	csqa	ALL	es	1	-0.6750	NA	-0.6750	-0.6750
condition-5-es-5k	csqa	en	es	1	-1.3000	NA	-1.3000	-1.3000
condition-5-es-5k	csqa	es	es	1	-0.4000	NA	-0.4000	-0.4000
condition-5-es-5k	csqa	ur	es	1	-0.3000	NA	-0.3000	-0.3000
condition-5-es-5k	csqa	zh	es	1	-0.7000	NA	-0.7000	-0.7000
condition-5-es-5k	sib200	ALL	en	1	-11.3975	NA	-11.3975	-11.3975
condition-5-es-5k	sib200	en	en	1	-8.8250	NA	-8.8250	-8.8250
condition-5-es-5k	sib200	es	en	1	-12.5000	NA	-12.5000	-12.5000
condition-5-es-5k	sib200	ur	en	1	-13.9700	NA	-13.9700	-13.9700
condition-5-es-5k	sib200	zh	en	1	-10.2950	NA	-10.2950	-10.2950
condition-5-es-5k	sib200	ALL	es	1	-12.5625	NA	-12.5625	-12.5625
condition-5-es-5k	sib200	en	es	1	-16.1800	NA	-16.1800	-16.1800
condition-5-es-5k	sib200	es	es	1	-15.2000	NA	-15.2000	-15.2000
condition-5-es-5k	sib200	ur	es	1	-13.9700	NA	-13.9700	-13.9700
condition-5-es-5k	sib200	zh	es	1	-4.9000	NA	-4.9000	-4.9000
condition-5-es-5k	xnli	ALL	en	1	-2.5987	NA	-2.5987	-2.5987
condition-5-es-5k	xnli	en	en	1	-0.9900	NA	-0.9900	-0.9900
condition-5-es-5k	xnli	es	en	1	-3.8050	NA	-3.8050	-3.8050
condition-5-es-5k	xnli	ur	en	1	-2.4650	NA	-2.4650	-2.4650
condition-5-es-5k	xnli	zh	en	1	-3.1350	NA	-3.1350	-3.1350
condition-5-es-5k	xnli	ALL	es	1	+1.4625	NA	+1.4625	+1.4625
condition-5-es-5k	xnli	en	es	1	+1.0100	NA	+1.0100	+1.0100
condition-5-es-5k	xnli	es	es	1	-0.9800	NA	-0.9800	-0.9800
condition-5-es-5k	xnli	ur	es	1	+6.1000	NA	+6.1000	+6.1000
condition-5-es-5k	xnli	zh	es	1	-0.2800	NA	-0.2800	-0.2800
condition-5-ur-5k	belebele	ALL	en	1	+1.9150	NA	+1.9150	+1.9150
condition-5-ur-5k	belebele	en	en	1	+2.6100	NA	+2.6100	+2.6100
condition-5-ur-5k	belebele	es	en	1	+3.6100	NA	+3.6100	+3.6100
condition-5-ur-5k	belebele	ur	en	1	+0.2200	NA	+0.2200	+0.2200
condition-5-ur-5k	belebele	zh	en	1	+1.2200	NA	+1.2200	+1.2200
condition-5-ur-5k	belebele	ALL	ur	1	+1.9300	NA	+1.9300	+1.9300
condition-5-ur-5k	belebele	en	ur	1	+1.0600	NA	+1.0600	+1.0600
condition-5-ur-5k	belebele	es	ur	1	+4.2200	NA	+4.2200	+4.2200
condition-5-ur-5k	belebele	ur	ur	1	+2.1100	NA	+2.1100	+2.1100
condition-5-ur-5k	belebele	zh	ur	1	+0.3300	NA	+0.3300	+0.3300
condition-5-ur-5k	csqa	ALL	en	1	-4.5125	NA	-4.5125	-4.5125
condition-5-ur-5k	csqa	en	en	1	-1.5000	NA	-1.5000	-1.5000
condition-5-ur-5k	csqa	es	en	1	-3.0000	NA	-3.0000	-3.0000
condition-5-ur-5k	csqa	ur	en	1	-9.4000	NA	-9.4000	-9.4000
condition-5-ur-5k	csqa	zh	en	1	-4.1500	NA	-4.1500	-4.1500
condition-5-ur-5k	csqa	ALL	ur	1	-4.4000	NA	-4.4000	-4.4000
condition-5-ur-5k	csqa	en	ur	1	-2.0000	NA	-2.0000	-2.0000
condition-5-ur-5k	csqa	es	ur	1	-3.0000	NA	-3.0000	-3.0000
condition-5-ur-5k	csqa	ur	ur	1	-7.4000	NA	-7.4000	-7.4000
condition-5-ur-5k	csqa	zh	ur	1	-5.2000	NA	-5.2000	-5.2000
condition-5-ur-5k	sib200	ALL	en	1	-7.4737	NA	-7.4737	-7.4737
condition-5-ur-5k	sib200	en	en	1	-4.6550	NA	-4.6550	-4.6550
condition-5-ur-5k	sib200	es	en	1	-4.9000	NA	-4.9000	-4.9000
condition-5-ur-5k	sib200	ur	en	1	-14.9500	NA	-14.9500	-14.9500
condition-5-ur-5k	sib200	zh	en	1	-5.3900	NA	-5.3900	-5.3900
condition-5-ur-5k	sib200	ALL	ur	1	+4.7812	NA	+4.7812	+4.7812
condition-5-ur-5k	sib200	en	ur	1	+7.8450	NA	+7.8450	+7.8450
condition-5-ur-5k	sib200	es	ur	1	+8.5800	NA	+8.5800	+8.5800
condition-5-ur-5k	sib200	ur	ur	1	-2.9400	NA	-2.9400	-2.9400
condition-5-ur-5k	sib200	zh	ur	1	+5.6400	NA	+5.6400	+5.6400
condition-5-ur-5k	xnli	ALL	en	1	-0.1850	NA	-0.1850	-0.1850
condition-5-ur-5k	xnli	en	en	1	-1.5950	NA	-1.5950	-1.5950
condition-5-ur-5k	xnli	es	en	1	-0.3900	NA	-0.3900	-0.3900
condition-5-ur-5k	xnli	ur	en	1	-1.4600	NA	-1.4600	-1.4600
condition-5-ur-5k	xnli	zh	en	1	+2.7050	NA	+2.7050	+2.7050
condition-5-ur-5k	xnli	ALL	ur	1	+0.4612	NA	+0.4612	+0.4612
condition-5-ur-5k	xnli	en	ur	1	+2.1650	NA	+2.1650	+2.1650
condition-5-ur-5k	xnli	es	ur	1	-0.4600	NA	-0.4600	-0.4600
condition-5-ur-5k	xnli	ur	ur	1	+0.1800	NA	+0.1800	+0.1800
condition-5-ur-5k	xnli	zh	ur	1	-0.0400	NA	-0.0400	-0.0400
condition-5-zh-5k	belebele	ALL	en	1	+1.6375	NA	+1.6375	+1.6375
condition-5-zh-5k	belebele	en	en	1	+1.6100	NA	+1.6100	+1.6100
condition-5-zh-5k	belebele	es	en	1	+2.0550	NA	+2.0550	+2.0550
condition-5-zh-5k	belebele	ur	en	1	+1.3850	NA	+1.3850	+1.3850
condition-5-zh-5k	belebele	zh	en	1	+1.5000	NA	+1.5000	+1.5000
condition-5-zh-5k	belebele	ALL	zh	1	+2.0013	NA	+2.0013	+2.0013
condition-5-zh-5k	belebele	en	zh	1	+1.5550	NA	+1.5550	+1.5550
condition-5-zh-5k	belebele	es	zh	1	+3.5550	NA	+3.5550	+3.5550
condition-5-zh-5k	belebele	ur	zh	1	+1.6700	NA	+1.6700	+1.6700
condition-5-zh-5k	belebele	zh	zh	1	+1.2250	NA	+1.2250	+1.2250
condition-5-zh-5k	csqa	ALL	en	1	-2.6750	NA	-2.6750	-2.6750
condition-5-zh-5k	csqa	en	en	1	-1.3500	NA	-1.3500	-1.3500
condition-5-zh-5k	csqa	es	en	1	-1.2000	NA	-1.2000	-1.2000
condition-5-zh-5k	csqa	ur	en	1	-4.8500	NA	-4.8500	-4.8500
condition-5-zh-5k	csqa	zh	en	1	-3.3000	NA	-3.3000	-3.3000
condition-5-zh-5k	csqa	ALL	zh	1	-1.3625	NA	-1.3625	-1.3625
condition-5-zh-5k	csqa	en	zh	1	-2.7000	NA	-2.7000	-2.7000
condition-5-zh-5k	csqa	es	zh	1	-1.0500	NA	-1.0500	-1.0500
condition-5-zh-5k	csqa	ur	zh	1	-0.0500	NA	-0.0500	-0.0500
condition-5-zh-5k	csqa	zh	zh	1	-1.6500	NA	-1.6500	-1.6500
condition-5-zh-5k	sib200	ALL	en	1	-7.2912	NA	-7.2912	-7.2912
condition-5-zh-5k	sib200	en	en	1	-5.8800	NA	-5.8800	-5.8800
condition-5-zh-5k	sib200	es	en	1	-4.1650	NA	-4.1650	-4.1650
condition-5-zh-5k	sib200	ur	en	1	-12.0100	NA	-12.0100	-12.0100
condition-5-zh-5k	sib200	zh	en	1	-7.1100	NA	-7.1100	-7.1100
condition-5-zh-5k	sib200	ALL	zh	1	-18.3837	NA	-18.3837	-18.3837
condition-5-zh-5k	sib200	en	zh	1	-20.3450	NA	-20.3450	-20.3450
condition-5-zh-5k	sib200	es	zh	1	-18.1400	NA	-18.1400	-18.1400
condition-5-zh-5k	sib200	ur	zh	1	-24.2650	NA	-24.2650	-24.2650
condition-5-zh-5k	sib200	zh	zh	1	-10.7850	NA	-10.7850	-10.7850
condition-5-zh-5k	xnli	ALL	en	1	-2.2500	NA	-2.2500	-2.2500
condition-5-zh-5k	xnli	en	en	1	-1.0550	NA	-1.0550	-1.0550
condition-5-zh-5k	xnli	es	en	1	-1.4000	NA	-1.4000	-1.4000
condition-5-zh-5k	xnli	ur	en	1	-1.8150	NA	-1.8150	-1.8150
condition-5-zh-5k	xnli	zh	en	1	-4.7300	NA	-4.7300	-4.7300
condition-5-zh-5k	xnli	ALL	zh	1	+2.8087	NA	+2.8087	+2.8087
condition-5-zh-5k	xnli	en	zh	1	-0.3050	NA	-0.3050	-0.3050
condition-5-zh-5k	xnli	es	zh	1	+7.4050	NA	+7.4050	+7.4050
condition-5-zh-5k	xnli	ur	zh	1	-1.7850	NA	-1.7850	-1.7850
condition-5-zh-5k	xnli	zh	zh	1	+5.9200	NA	+5.9200	+5.9200
