condition	benchmark	data_lang	instr_lang	n_seeds	mean	std	min	max
condition-1-en-20k	xnli	zh	ur	1	+0.5000	NA	+0.5000	+0.5000
condition-1-en-20k	xnli	ALL	zh	1	+1.5337	NA	+1.5337	+1.5337
condition-1-en-20k	xnli	en	zh	1	-0.3500	NA	-0.3500	-0.3500
condition-1-en-20k	xnli	es	zh	1	+1.7250	NA	+1.7250	+1.7250
condition-1-en-20k	xnli	ur	zh	1	+2.8650	NA	+2.8650	+2.8650
condition-1-en-20k	xnli	zh	zh	1	+1.8950	NA	+1.8950	+1.8950
condition-1-en-5k	belebele	ALL	en	3	+0.7642	0.2715	+0.4863	+1.0288
condition-1-en-5k	belebele	en	en	3	+0.7583	0.1708	+0.6100	+0.9450
condition-1-en-5k	belebele	es	en	3	+0.8717	0.3029	+0.5600	+1.1650
condition-1-en-5k	belebele	ur	en	3	+0.7033	0.2250	+0.5000	+0.9450
condition-1-en-5k	belebele	zh	en	3	+0.7233	0.4042	+0.2750	+1.0600
condition-1-en-5k	belebele	ALL	es	3	+0.0838	0.1971	-0.0688	+0.3063
condition-1-en-5k	belebele	en	es	3	+0.3350	0.1905	+0.2250	+0.5550
condition-1-en-5k	belebele	es	es	3	-0.2033	0.2627	-0.5000	+0.0000
condition-1-en-5k	belebele	ur	es	3	+0.2217	0.6965	-0.5000	+0.8900
condition-1-en-5k	belebele	zh	es	3	-0.0183	0.1768	-0.2200	+0.1100
condition-1-en-5k	belebele	ALL	ur	3	+0.8567	0.1741	+0.7362	+1.0562
condition-1-en-5k	belebele	en	ur	3	+1.2967	0.3058	+0.9450	+1.5000
condition-1-en-5k	belebele	es	ur	3	+0.5017	0.5877	-0.1650	+0.9450
condition-1-en-5k	belebele	ur	ur	3	+0.5000	0.4450	+0.0550	+0.9450
condition-1-en-5k	belebele	zh	ur	3	+1.1283	0.0318	+1.1100	+1.1650
condition-1-en-5k	belebele	ALL	zh	3	+0.0233	0.0393	-0.0000	+0.0688
condition-1-en-5k	belebele	en	zh	3	+0.0550	0.2397	-0.2200	+0.2200
condition-1-en-5k	belebele	es	zh	3	+0.0383	0.2111	-0.1100	+0.2800
condition-1-en-5k	belebele	ur	zh	3	+0.1867	0.0862	+0.1100	+0.2800
condition-1-en-5k	belebele	zh	zh	3	-0.1867	0.2250	-0.3900	+0.0550
condition-1-en-5k	csqa	ALL	en	3	+0.4375	0.2281	+0.2875	+0.7000
condition-1-en-5k	csqa	en	en	3	+0.4667	0.2466	+0.3000	+0.7500
condition-1-en-5k	csqa	es	en	3	+0.7667	0.5965	+0.3500	+1.4500
condition-1-en-5k	csqa	ur	en	3	+0.1167	0.2843	-0.2000	+0.3500
condition-1-en-5k	csqa	zh	en	3	+0.4000	0.2500	+0.1500	+0.6500
condition-1-en-5k	csqa	ALL	es	3	+0.1583	0.1913	-0.0625	+0.2750
condition-1-en-5k	csqa	en	es	3	+0.1667	0.3786	-0.1000	+0.6000
condition-1-en-5k	csqa	es	es	3	+0.3167	0.5058	+0.0000	+0.9000
condition-1-en-5k	csqa	ur	es	3	+0.1000	0.1732	+0.0000	+0.3000
condition-1-en-5k	csqa	zh	es	3	+0.0500	0.1803	-0.1500	+0.2000
condition-1-en-5k	csqa	ALL	ur	3	+0.4083	0.2566	+0.1250	+0.6250
condition-1-en-5k	csqa	en	ur	3	+0.7000	0.0500	+0.6500	+0.7500
condition-1-en-5k	csqa	es	ur	3	+0.6167	0.2843	+0.3000	+0.8500
condition-1-en-5k	csqa	ur	ur	3	+0.2500	0.4770	-0.2500	+0.7000
condition-1-en-5k	csqa	zh	ur	3	+0.0667	0.3512	-0.3000	+0.4000
condition-1-en-5k	csqa	ALL	zh	3	+0.2000	0.2690	-0.0750	+0.4625
condition-1-en-5k	csqa	en	zh	3	+0.4500	0.6265	-0.2000	+1.0500
condition-1-en-5k	csqa	es	zh	3	+0.0167	0.2754	-0.2500	+0.3000
condition-1-en-5k	csqa	ur	zh	3	+0.5833	0.2843	+0.3500	+0.9000
condition-1-en-5k	csqa	zh	zh	3	-0.2500	0.1323	-0.3500	-0.1000
condition-1-en-5k	sib200	ALL	en	3	-2.0212	0.5614	-2.5112	-1.4087
condition-1-en-5k	sib200	en	en	3	-0.6533	0.6166	-1.2250	+0.0000
condition-1-en-5k	sib200	es	en	3	-1.7150	0.2450	-1.9600	-1.4700
condition-1-en-5k	sib200	ur	en	3	-2.5317	1.0200	-3.6750	-1.7150
condition-1-en-5k	sib200	zh	en	3	-3.1850	0.6482	-3.6750	-2.4500
condition-1-en-5k	sib200	ALL	es	3	-2.2867	1.0071	-3.4300	-1.5312
condition-1-en-5k	sib200	en	es	3	-2.6950	1.3641	-4.1650	-1.4700
condition-1-en-5k	sib200	es	es	3	-1.3883	0.5100	-1.9600	-0.9800
condition-1-en-5k	sib200	ur	es	3	-3.2667	1.2572	-4.6550	-2.2050
condition-1-en-5k	sib200	zh	es	3	-1.7967	1.1048	-2.9400	-0.7350
condition-1-en-5k	sib200	ALL	ur	3	+1.4292	0.4758	+1.0412	+1.9600
condition-1-en-5k	sib200	en	ur	3	+0.5717	0.5100	+0.0000	+0.9800
condition-1-en-5k	sib200	es	ur	3	+0.9800	1.2731	+0.2450	+2.4500
condition-1-en-5k	sib200	ur	ur	3	+0.0000	0.4244	-0.4900	+0.2450
condition-1-en-5k	sib200	zh	ur	3	+4.1650	0.6482	+3.6750	+4.9000
condition-1-en-5k	sib200	ALL	zh	3	-0.7350	0.4288	-1.2250	-0.4287
condition-1-en-5k	sib200	en	zh	3	-0.5717	0.3742	-0.9800	-0.2450
condition-1-en-5k	sib200	es	zh	3	-1.1433	0.3742	-1.4700	-0.7350
condition-1-en-5k	sib200	ur	zh	3	-1.2250	0.8834	-2.2050	-0.4900
condition-1-en-5k	sib200	zh	zh	3	+0.0000	0.4244	-0.2450	+0.4900
condition-1-en-5k	xnli	ALL	en	3	-0.0575	0.4788	-0.5975	+0.3150
condition-1-en-5k	xnli	en	en	3	+0.0333	0.4149	-0.4450	+0.2950
condition-1-en-5k	xnli	es	en	3	+0.2433	0.4394	-0.2600	+0.5500
condition-1-en-5k	xnli	ur	en	3	+0.0233	0.1457	-0.1400	+0.1400
condition-1-en-5k	xnli	zh	en	3	-0.5300	0.9710	-1.5450	+0.3900
condition-1-en-5k	xnli	ALL	es	3	+2.1925	0.0867	+2.1012	+2.2738
condition-1-en-5k	xnli	en	es	3	+1.3933	0.1159	+1.2600	+1.4700
condition-1-en-5k	xnli	es	es	3	+0.3633	0.0709	+0.3000	+0.4400
condition-1-en-5k	xnli	ur	es	3	+6.8100	0.3567	+6.4100	+7.0950
condition-1-en-5k	xnli	zh	es	3	+0.2033	0.4278	-0.2500	+0.6000
condition-1-en-5k	xnli	ALL	ur	3	+0.4888	0.2951	+0.2113	+0.7987
condition-1-en-5k	xnli	en	ur	3	+1.7950	0.7363	+1.0350	+2.5050
condition-1-en-5k	xnli	es	ur	3	-0.2300	0.3223	-0.4500	+0.1400
condition-1-en-5k	xnli	ur	ur	3	+0.1367	0.1361	+0.0300	+0.2900
condition-1-en-5k	xnli	zh	ur	3	+0.2533	0.0208	+0.2300	+0.2700
condition-1-en-5k	xnli	ALL	zh	3	+3.4342	0.4085	+2.9888	+3.7913
condition-1-en-5k	xnli	en	zh	3	+2.5450	0.5895	+1.8950	+3.0450
condition-1-en-5k	xnli	es	zh	3	+5.4967	0.7420	+4.6400	+5.9400
condition-1-en-5k	xnli	ur	zh	3	+3.5033	0.5100	+3.0250	+4.0400
condition-1-en-5k	xnli	zh	zh	3	+2.1917	0.5853	+1.5950	+2.7650
condition-2-es-20k	belebele	ALL	en	1	+0.9712	NA	+0.9712	+0.9712
condition-2-es-20k	belebele	en	en	1	+1.2200	NA	+1.2200	+1.2200
condition-2-es-20k	belebele	es	en	1	+1.6100	NA	+1.6100	+1.6100
condition-2-es-20k	belebele	ur	en	1	+0.3850	NA	+0.3850	+0.3850
condition-2-es-20k	belebele	zh	en	1	+0.6700	NA	+0.6700	+0.6700
condition-2-es-20k	belebele	ALL	es	1	+1.0563	NA	+1.0563	+1.0563
condition-2-es-20k	belebele	en	es	1	+1.6100	NA	+1.6100	+1.6100
condition-2-es-20k	belebele	es	es	1	-0.2750	NA	-0.2750	-0.2750
condition-2-es-20k	belebele	ur	es	1	+1.9450	NA	+1.9450	+1.9450
condition-2-es-20k	belebele	zh	es	1	+0.9450	NA	+0.9450	+0.9450
condition-2-es-20k	csqa	ALL	en	1	+0.2125	NA	+0.2125	+0.2125
condition-2-es-20k	csqa	en	en	1	-0.5500	NA	-0.5500	-0.5500
condition-2-es-20k	csqa	es	en	1	+0.9500	NA	+0.9500	+0.9500
condition-2-es-20k	csqa	ur	en	1	+0.1000	NA	+0.1000	+0.1000
condition-2-es-20k	csqa	zh	en	1	+0.3500	NA	+0.3500	+0.3500
condition-2-es-20k	csqa	ALL	es	1	+1.1625	NA	+1.1625	+1.1625
condition-2-es-20k	csqa	en	es	1	+0.6500	NA	+0.6500	+0.6500
condition-2-es-20k	csqa	es	es	1	+1.5500	NA	+1.5500	+1.5500
condition-2-es-20k	csqa	ur	es	1	+0.8000	NA	+0.8000	+0.8000
condition-2-es-20k	csqa	zh	es	1	+1.6500	NA	+1.6500	+1.6500
condition-2-es-20k	sib200	ALL	en	1	-2.5112	NA	-2.5112	-2.5112
condition-2-es-20k	sib200	en	en	1	-1.4700	NA	-1.4700	-1.4700
condition-2-es-20k	sib200	es	en	1	-1.9600	NA	-1.9600	-1.9600
condition-2-es-20k	sib200	ur	en	1	-2.4500	NA	-2.4500	-2.4500
condition-2-es-20k	sib200	zh	en	1	-4.1650	NA	-4.1650	-4.1650
condition-2-es-20k	sib200	ALL	es	1	-1.7163	NA	-1.7163	-1.7163
condition-2-es-20k	sib200	en	es	1	-1.4700	NA	-1.4700	-1.4700
condition-2-es-20k	sib200	es	es	1	+0.4900	NA	+0.4900	+0.4900
condition-2-es-20k	sib200	ur	es	1	-7.3550	NA	-7.3550	-7.3550
condition-2-es-20k	sib200	zh	es	1	+1.4700	NA	+1.4700	+1.4700
condition-2-es-20k	xnli	ALL	en	1	+0.8337	NA	+0.8337	+0.8337
condition-2-es-20k	xnli	en	en	1	+1.4250	NA	+1.4250	+1.4250
condition-2-es-20k	xnli	es	en	1	+1.2000	NA	+1.2000	+1.2000
condition-2-es-20k	xnli	ur	en	1	+0.0300	NA	+0.0300	+0.0300
condition-2-es-20k	xnli	zh	en	1	+0.6800	NA	+0.6800	+0.6800
condition-2-es-20k	xnli	ALL	es	1	+3.4625	NA	+3.4625	+3.4625
condition-2-es-20k	xnli	en	es	1	+4.5850	NA	+4.5850	+4.5850
condition-2-es-20k	xnli	es	es	1	-1.4350	NA	-1.4350	-1.4350
condition-2-es-20k	xnli	ur	es	1	+10.0100	NA	+10.0100	+10.0100
condition-2-es-20k	xnli	zh	es	1	+0.6900	NA	+0.6900	+0.6900
condition-2-es-5k	belebele	ALL	en	3	+1.0696	0.2790	+0.7475	+1.2375
condition-2-es-5k	belebele	en	en	3	+0.9833	0.3233	+0.6100	+1.1700
condition-2-es-5k	belebele	es	en	3	+1.6300	0.4111	+1.1650	+1.9450
condition-2-es-5k	belebele	ur	en	3	+0.9067	0.1137	+0.7800	+1.0000
condition-2-es-5k	belebele	zh	en	3	+0.7583	0.4222	+0.2750	+1.0550
condition-2-es-5k	belebele	ALL	es	3	+1.5683	0.1597	+1.4450	+1.7488
condition-2-es-5k	belebele	en	es	3	+1.2767	0.4441	+0.9400	+1.7800
condition-2-es-5k	belebele	es	es	3	+0.6267	0.3155	+0.2750	+0.8850
condition-2-es-5k	belebele	ur	es	3	+2.9250	0.4300	+2.4450	+3.2750
condition-2-es-5k	belebele	zh	es	3	+1.4450	0.4413	+1.1100	+1.9450
condition-2-es-5k	csqa	ALL	en	3	+0.3333	0.3574	+0.0250	+0.7250
condition-2-es-5k	csqa	en	en	3	-0.0667	0.4907	-0.3500	+0.5000
condition-2-es-5k	csqa	es	en	3	+1.0333	0.4041	+0.6000	+1.4000
condition-2-es-5k	csqa	ur	en	3	-0.3833	0.2566	-0.6000	-0.1000
condition-2-es-5k	csqa	zh	en	3	+0.7500	0.3279	+0.4500	+1.1000
condition-2-es-5k	csqa	ALL	es	3	+0.5875	0.1192	+0.5125	+0.7250
condition-2-es-5k	csqa	en	es	3	-0.0500	0.2179	-0.3000	+0.1000
condition-2-es-5k	csqa	es	es	3	+1.0333	0.1893	+0.9000	+1.2500
condition-2-es-5k	csqa	ur	es	3	+1.0167	0.1607	+0.9000	+1.2000
condition-2-es-5k	csqa	zh	es	3	+0.3500	0.3464	+0.1500	+0.7500
condition-2-es-5k	sib200	ALL	en	3	-2.0417	0.2550	-2.3275	-1.8375
condition-2-es-5k	sib200	en	en	3	-0.7350	0.2450	-0.9800	-0.4900
condition-2-es-5k	sib200	es	en	3	-1.8783	0.5100	-2.4500	-1.4700
condition-2-es-5k	sib200	ur	en	3	-2.3683	0.3742	-2.6950	-1.9600
condition-2-es-5k	sib200	zh	en	3	-3.1850	0.2450	-3.4300	-2.9400
condition-2-es-5k	sib200	ALL	es	3	-3.3292	0.7485	-3.9825	-2.5125
condition-2-es-5k	sib200	en	es	3	-2.6950	0.2450	-2.9400	-2.4500
condition-2-es-5k	sib200	es	es	3	-2.2050	0.6482	-2.6950	-1.4700
condition-2-es-5k	sib200	ur	es	3	-8.1717	1.3931	-9.3150	-6.6200
condition-2-es-5k	sib200	zh	es	3	-0.2450	0.7350	-0.9800	+0.4900
condition-2-es-5k	xnli	ALL	en	3	+0.2554	0.0441	+0.2275	+0.3062
condition-2-es-5k	xnli	en	en	3	+0.3867	0.2250	+0.1600	+0.6100
condition-2-es-5k	xnli	es	en	3	+0.8850	0.2575	+0.6300	+1.1450
condition-2-es-5k	xnli	ur	en	3	+0.4667	0.0945	+0.3600	+0.5400
condition-2-es-5k	xnli	zh	en	3	-0.7167	0.3259	-1.0800	-0.4500
condition-2-es-5k	xnli	ALL	es	3	+4.3696	1.2244	+3.2763	+5.6925
condition-2-es-5k	xnli	en	es	3	+4.9667	1.9549	+3.3650	+7.1450
condition-2-es-5k	xnli	es	es	3	+0.7433	1.7034	-1.0700	+2.3100
condition-2-es-5k	xnli	ur	es	3	+10.8800	0.3214	+10.6700	+11.2500
condition-2-es-5k	xnli	zh	es	3	+0.8883	1.0404	+0.0900	+2.0650
condition-2-ur-20k	belebele	ALL	en	1	+1.3612	NA	+1.3612	+1.3612
condition-2-ur-20k	belebele	en	en	1	+1.8300	NA	+1.8300	+1.8300
condition-2-ur-20k	belebele	es	en	1	+2.6100	NA	+2.6100	+2.6100
condition-2-ur-20k	belebele	ur	en	1	-0.6650	NA	-0.6650	-0.6650
condition-2-ur-20k	belebele	zh	en	1	+1.6700	NA	+1.6700	+1.6700
condition-2-ur-20k	belebele	ALL	ur	1	+2.5975	NA	+2.5975	+2.5975
condition-2-ur-20k	belebele	en	ur	1	+4.0000	NA	+4.0000	+4.0000
condition-2-ur-20k	belebele	es	ur	1	+5.0000	NA	+5.0000	+5.0000
condition-2-ur-20k	belebele	ur	ur	1	-3.3900	NA	-3.3900	-3.3900
condition-2-ur-20k	belebele	zh	ur	1	+4.7800	NA	+4.7800	+4.7800
condition-2-ur-20k	csqa	ALL	en	1	-0.8750	NA	-0.8750	-0.8750
condition-2-ur-20k	csqa	en	en	1	+0.5500	NA	+0.5500	+0.5500
condition-2-ur-20k	csqa	es	en	1	+2.2000	NA	+2.2000	+2.2000
condition-2-ur-20k	csqa	ur	en	1	-6.2000	NA	-6.2000	-6.2000
condition-2-ur-20k	csqa	zh	en	1	-0.0500	NA	-0.0500	-0.0500
condition-2-ur-20k	csqa	ALL	ur	1	+0.7500	NA	+0.7500	+0.7500
condition-2-ur-20k	csqa	en	ur	1	+2.9000	NA	+2.9000	+2.9000
condition-2-ur-20k	csqa	es	ur	1	+2.4000	NA	+2.4000	+2.4000
condition-2-ur-20k	csqa	ur	ur	1	-5.1500	NA	-5.1500	-5.1500
condition-2-ur-20k	csqa	zh	ur	1	+2.8500	NA	+2.8500	+2.8500
condition-2-ur-20k	sib200	ALL	en	1	-4.2875	NA	-4.2875	-4.2875
condition-2-ur-20k	sib200	en	en	1	-0.9800	NA	-0.9800	-0.9800
condition-2-ur-20k	sib200	es	en	1	-3.4300	NA	-3.4300	-3.4300
condition-2-ur-20k	sib200	ur	en	1	-7.5950	NA	-7.5950	-7.5950
condition-2-ur-20k	sib200	zh	en	1	-5.1450	NA	-5.1450	-5.1450
condition-2-ur-20k	sib200	ALL	ur	1	-1.7162	NA	-1.7162	-1.7162
condition-2-ur-20k	sib200	en	ur	1	+9.8050	NA	+9.8050	+9.8050
condition-2-ur-20k	sib200	es	ur	1	+4.1650	NA	+4.1650	+4.1650
condition-2-ur-20k	sib200	ur	ur	1	-25.2450	NA	-25.2450	-25.2450
condition-2-ur-20k	sib200	zh	ur	1	+4.4100	NA	+4.4100	+4.4100
condition-2-ur-20k	xnli	ALL	en	1	+1.5613	NA	+1.5613	+1.5613
condition-2-ur-20k	xnli	en	en	1	+1.0450	NA	+1.0450	+1.0450
condition-2-ur-20k	xnli	es	en	1	+2.5150	NA	+2.5150	+2.5150
condition-2-ur-20k	xnli	ur	en	1	+0.5100	NA	+0.5100	+0.5100
condition-2-ur-20k	xnli	zh	en	1	+2.1750	NA	+2.1750	+2.1750
condition-2-ur-20k	xnli	ALL	ur	1	+5.3100	NA	+5.3100	+5.3100
condition-2-ur-20k	xnli	en	ur	1	+8.0200	NA	+8.0200	+8.0200
condition-2-ur-20k	xnli	es	ur	1	+3.6650	NA	+3.6650	+3.6650
condition-2-ur-20k	xnli	ur	ur	1	+3.4650	NA	+3.4650	+3.4650
condition-2-ur-20k	xnli	zh	ur	1	+6.0900	NA	+6.0900	+6.0900
condition-2-ur-5k	belebele	ALL	en	3	+2.4675	0.3110	+2.1950	+2.8062
