condition	seed	template	data_lang	instr_lang	n	accuracy	top_pred	top_pred_count	top_pred_share	top_raw	top_raw_count	top_raw_share	correct_count	correct_via_constant_pred_count	correct_via_constant_pred_pct	correct_via_constant_raw_count	correct_via_constant_raw_pct
condition-5-es-5k	seed42	1	es	es	204	0.5245	science/technology	115	0.5637	Ciencia y Tecnología	80	0.3922	107	50	0.4673	23	0.2150
condition-5-es-5k	seed42	1	ur	en	204	0.5000	science/technology	137	0.6716	science/technology	136	0.6667	102	49	0.4804	49	0.4804
condition-5-es-5k	seed42	1	ur	es	204	0.4804	science/technology	132	0.6471	ciencia y tecnología	95	0.4657	98	50	0.5102	30	0.3061
condition-5-es-5k	seed42	1	zh	en	204	0.6127	science/technology	113	0.5539	science/technology	76	0.3725	125	49	0.3920	38	0.3040
condition-5-es-5k	seed42	1	zh	es	204	0.5882	science/technology	92	0.4510	entretenimiento	39	0.1912	120	51	0.4250	16	0.1333
condition-5-es-5k	seed42	2	en	en	204	0.7010	science/technology	90	0.4412	Science/Technology	90	0.4412	143	50	0.3497	50	0.3497
condition-5-es-5k	seed42	2	en	es	204	0.3725	science/technology	174	0.8529	Ciencia y Tecnología	169	0.8284	76	51	0.6711	49	0.6447
condition-5-es-5k	seed42	2	es	en	204	0.6471	science/technology	97	0.4755	Science/Technology	97	0.4755	132	50	0.3788	50	0.3788
condition-5-es-5k	seed42	2	es	es	204	0.3382	science/technology	185	0.9069	Ciencia y Tecnología	184	0.9020	69	51	0.7391	51	0.7391
condition-5-es-5k	seed42	2	ur	en	204	0.6275	science/technology	88	0.4314	Science/Technology	68	0.3333	128	49	0.3828	34	0.2656
condition-5-es-5k	seed42	2	ur	es	204	0.3873	science/technology	170	0.8333	ciencia y tecnología	130	0.6373	79	51	0.6456	34	0.4304
condition-5-es-5k	seed42	2	zh	en	204	0.6667	science/technology	91	0.4461	Science/Technology	90	0.4412	136	50	0.3676	49	0.3603
condition-5-es-5k	seed42	2	zh	es	204	0.4608	science/technology	150	0.7353	Ciencia y Tecnología	139	0.6814	94	51	0.5426	47	0.5000
condition-5-ur-5k	seed42	1	en	en	204	0.7010	science/technology	98	0.4804	science/technology	57	0.2794	143	50	0.3497	29	0.2028
condition-5-ur-5k	seed42	1	en	ur	204	0.4706	science/technology	136	0.6667	سائنس/تکنالوجی	108	0.5294	96	50	0.5208	39	0.4062
condition-5-ur-5k	seed42	1	es	en	204	0.6961	science/technology	100	0.4902	science/technology	83	0.4069	142	50	0.3521	46	0.3239
condition-5-ur-5k	seed42	1	es	ur	204	0.4510	science/technology	136	0.6667	سائنس/تکنالوجی	96	0.4706	92	51	0.5543	34	0.3696
condition-5-ur-5k	seed42	1	ur	en	204	0.5392	science/technology	130	0.6373	science/technology	128	0.6275	110	49	0.4455	49	0.4455
condition-5-ur-5k	seed42	1	ur	ur	204	0.4951	science/technology	135	0.6618	سائنس/تکنالوجی	125	0.6127	101	47	0.4653	44	0.4356
condition-5-ur-5k	seed42	1	zh	en	204	0.7059	science/technology	91	0.4461	science/technology	87	0.4265	144	48	0.3333	48	0.3333
condition-5-ur-5k	seed42	1	zh	ur	204	0.5049	science/technology	128	0.6275	سائنس/تکنالوجی	87	0.4265	103	49	0.4757	33	0.3204
condition-5-ur-5k	seed42	2	en	en	204	0.6814	science/technology	91	0.4461	Science/Technology	91	0.4461	139	50	0.3597	50	0.3597
condition-5-ur-5k	seed42	2	en	ur	204	0.5784	science/technology	83	0.4069	سیاست	45	0.2206	118	47	0.3983	27	0.2288
condition-5-ur-5k	seed42	2	es	en	204	0.6569	science/technology	91	0.4461	Science/Technology	91	0.4461	134	50	0.3731	50	0.3731
condition-5-ur-5k	seed42	2	es	ur	204	0.5637	science/technology	84	0.4118	سیاست	49	0.2402	115	46	0.4000	27	0.2348
condition-5-ur-5k	seed42	2	ur	en	204	0.5686	science/technology	88	0.4314	science/technology	87	0.4265	116	48	0.4138	48	0.4138
condition-5-ur-5k	seed42	2	ur	ur	204	0.5490	science/technology	71	0.3480	سائنس/تکنالوجی	49	0.2402	112	38	0.3393	22	0.1964
condition-5-ur-5k	seed42	2	zh	en	204	0.6716	science/technology	74	0.3627	politics	62	0.3039	137	47	0.3431	29	0.2117
condition-5-ur-5k	seed42	2	zh	ur	204	0.5343	science/technology	74	0.3627	سیاست	72	0.3529	109	40	0.3670	29	0.2661
condition-5-zh-5k	seed42	1	en	en	204	0.6569	science/technology	110	0.5392	Science/Technology	76	0.3725	134	51	0.3806	33	0.2463
condition-5-zh-5k	seed42	1	en	zh	204	0.4559	science/technology	160	0.7843	科学/技术	121	0.5931	93	51	0.5484	22	0.2366
condition-5-zh-5k	seed42	1	es	en	204	0.7059	science/technology	102	0.5000	science/technology	65	0.3186	144	51	0.3542	40	0.2778
condition-5-zh-5k	seed42	1	es	zh	204	0.4118	science/technology	170	0.8333	科学/技术	149	0.7304	84	51	0.6071	38	0.4524
