condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	baseline_pf_orig	cond_pf_orig	baseline_pf_rep	cond_pf_rep
condition-1-en-20k	42	1	sib200	ur	es	0.5000	0.4657	-0.0343	0.5343	0.5000	-0.0343	0.0441	0.0490	0.0245	0.0245
condition-1-en-20k	42	1	sib200	ur	ur	0.2157	0.2255	+0.0098	0.5735	0.5686	-0.0049	0.5098	0.4657	0.0343	0.0147
condition-1-en-20k	42	1	sib200	ur	zh	0.5686	0.5245	-0.0441	0.5735	0.5245	-0.0490	0.0098	0.0000	0.0049	0.0098
condition-1-en-20k	42	1	sib200	zh	en	0.8039	0.7794	-0.0245	0.7892	0.7647	-0.0245	0.0098	0.0049	0.0196	0.0196
condition-1-en-20k	42	1	sib200	zh	es	0.5343	0.4951	-0.0392	0.5882	0.5490	-0.0392	0.0784	0.0784	0.0000	0.0000
condition-1-en-20k	42	1	sib200	zh	ur	0.2157	0.2206	+0.0049	0.5294	0.5294	+0.0000	0.6127	0.6078	0.1324	0.1127
condition-1-en-20k	42	1	sib200	zh	zh	0.5343	0.5539	+0.0196	0.6667	0.6471	-0.0196	0.1912	0.1275	0.0098	0.0049
condition-1-en-20k	42	1	xnli	en	en	0.4998	0.5166	+0.0168	0.4998	0.5166	+0.0168	0.0014	0.0006	0.0014	0.0006
condition-1-en-20k	42	1	xnli	en	es	0.3980	0.4457	+0.0477	0.3980	0.4457	+0.0477	0.0002	0.0002	0.0002	0.0002
condition-1-en-20k	42	1	xnli	en	ur	0.3816	0.4677	+0.0860	0.3816	0.4677	+0.0860	0.0010	0.0006	0.0008	0.0004
condition-1-en-20k	42	1	xnli	en	zh	0.3333	0.3329	-0.0004	0.3333	0.3329	-0.0004	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	xnli	es	en	0.4525	0.4677	+0.0152	0.4525	0.4677	+0.0152	0.0006	0.0004	0.0006	0.0004
condition-1-en-20k	42	1	xnli	es	es	0.4547	0.4758	+0.0212	0.4547	0.4758	+0.0212	0.0002	0.0008	0.0002	0.0008
condition-1-en-20k	42	1	xnli	es	ur	0.3433	0.3752	+0.0319	0.3433	0.3752	+0.0319	0.0010	0.0006	0.0010	0.0006
condition-1-en-20k	42	1	xnli	es	zh	0.3337	0.3337	+0.0000	0.3337	0.3337	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	xnli	ur	en	0.4343	0.4379	+0.0036	0.4343	0.4379	+0.0036	0.0038	0.0002	0.0038	0.0002
condition-1-en-20k	42	1	xnli	ur	es	0.3727	0.4060	+0.0333	0.3727	0.4060	+0.0333	0.0002	0.0002	0.0002	0.0002
condition-1-en-20k	42	1	xnli	ur	ur	0.3327	0.3403	+0.0076	0.3327	0.3403	+0.0076	0.0038	0.0020	0.0038	0.0020
condition-1-en-20k	42	1	xnli	ur	zh	0.3311	0.3333	+0.0022	0.3311	0.3333	+0.0022	0.0002	0.0002	0.0002	0.0002
condition-1-en-20k	42	1	xnli	zh	en	0.3906	0.4120	+0.0214	0.3906	0.4120	+0.0214	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	xnli	zh	es	0.3333	0.3337	+0.0004	0.3333	0.3337	+0.0004	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	xnli	zh	ur	0.3345	0.3423	+0.0078	0.3345	0.3423	+0.0078	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	1	xnli	zh	zh	0.3329	0.3331	+0.0002	0.3329	0.3331	+0.0002	0.0004	0.0000	0.0004	0.0000
condition-1-en-20k	42	2	belebele	en	en	0.7822	0.7922	+0.0100	0.7822	0.7922	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	en	es	0.7756	0.7789	+0.0033	0.7756	0.7789	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	en	ur	0.7489	0.7600	+0.0111	0.7489	0.7600	+0.0111	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	en	zh	0.8000	0.7967	-0.0033	0.8000	0.7967	-0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	es	en	0.7011	0.7189	+0.0178	0.7011	0.7189	+0.0178	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	es	es	0.6989	0.6833	-0.0156	0.6989	0.6833	-0.0156	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	es	ur	0.6389	0.6422	+0.0033	0.6389	0.6422	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	es	zh	0.7167	0.7156	-0.0011	0.7167	0.7156	-0.0011	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	ur	en	0.6144	0.6222	+0.0078	0.6144	0.6222	+0.0078	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	ur	es	0.5544	0.5656	+0.0111	0.5544	0.5656	+0.0111	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	ur	ur	0.5233	0.5156	-0.0078	0.5233	0.5156	-0.0078	0.0033	0.0011	0.0033	0.0011
condition-1-en-20k	42	2	belebele	ur	zh	0.6067	0.6056	-0.0011	0.6067	0.6056	-0.0011	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	zh	en	0.7589	0.7622	+0.0033	0.7589	0.7622	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	zh	es	0.7367	0.7344	-0.0022	0.7367	0.7344	-0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	zh	ur	0.7000	0.7033	+0.0033	0.7000	0.7033	+0.0033	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	belebele	zh	zh	0.7611	0.7633	+0.0022	0.7611	0.7633	+0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	en	en	0.6070	0.6160	+0.0090	0.6070	0.6160	+0.0090	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	en	es	0.6230	0.6210	-0.0020	0.6230	0.6210	-0.0020	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	en	ur	0.5790	0.5820	+0.0030	0.5790	0.5820	+0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	en	zh	0.6310	0.6340	+0.0030	0.6310	0.6340	+0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	es	en	0.5170	0.5270	+0.0100	0.5170	0.5270	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	es	es	0.5320	0.5350	+0.0030	0.5320	0.5350	+0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	es	ur	0.4800	0.4830	+0.0030	0.4800	0.4830	+0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	es	zh	0.5300	0.5350	+0.0050	0.5300	0.5350	+0.0050	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	ur	en	0.4170	0.4210	+0.0040	0.4170	0.4210	+0.0040	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	ur	es	0.3930	0.3920	-0.0010	0.3930	0.3920	-0.0010	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	ur	ur	0.3920	0.4000	+0.0080	0.3920	0.4000	+0.0080	0.0010	0.0000	0.0010	0.0000
condition-1-en-20k	42	2	csqa	ur	zh	0.4020	0.4080	+0.0060	0.4020	0.4080	+0.0060	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	zh	en	0.5320	0.5410	+0.0090	0.5320	0.5410	+0.0090	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	zh	es	0.5100	0.5040	-0.0060	0.5100	0.5040	-0.0060	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	zh	ur	0.4660	0.4750	+0.0090	0.4660	0.4750	+0.0090	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	csqa	zh	zh	0.5320	0.5370	+0.0050	0.5320	0.5370	+0.0050	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	sib200	en	en	0.7206	0.6863	-0.0343	0.7206	0.6863	-0.0343	0.0000	0.0000	0.0000	0.0000
condition-1-en-20k	42	2	sib200	en	es	0.5343	0.4608	-0.0735	0.5539	0.4657	-0.0882	0.0294	0.0098	0.0000	0.0000
