condition	target_lang	template	benchmark	data	instr	matched_diagonal	matched_instr	n_seeds	mean_acc	std_acc	min_acc	max_acc	total_count	total_correct
condition-1-en-5k	en	1	csqa	es	ur	n	n	3	0.4823	0.0029	0.4790	0.4840	3000	1447
condition-1-en-5k	en	1	csqa	es	zh	n	n	3	0.5480	0.0040	0.5440	0.5520	3000	1644
condition-1-en-5k	en	1	csqa	ur	en	n	y	3	0.4237	0.0035	0.4200	0.4270	3000	1271
condition-1-en-5k	en	1	csqa	ur	es	n	n	3	0.3970	0.0036	0.3930	0.4000	3000	1191
condition-1-en-5k	en	1	csqa	ur	ur	y	n	3	0.4090	0.0087	0.3990	0.4150	3000	1227
condition-1-en-5k	en	1	csqa	ur	zh	n	n	3	0.3867	0.0040	0.3820	0.3890	3000	1160
condition-1-en-5k	en	1	csqa	zh	en	n	y	3	0.5527	0.0023	0.5500	0.5540	3000	1658
condition-1-en-5k	en	1	csqa	zh	es	n	n	3	0.5067	0.0032	0.5030	0.5090	3000	1520
condition-1-en-5k	en	1	csqa	zh	ur	n	n	3	0.4820	0.0044	0.4790	0.4870	3000	1446
condition-1-en-5k	en	1	csqa	zh	zh	y	n	3	0.5267	0.0006	0.5260	0.5270	3000	1580
condition-1-en-5k	en	1	sib200	en	en	y	y	3	0.7533	0.0057	0.7500	0.7598	612	461
condition-1-en-5k	en	1	sib200	en	es	n	n	3	0.6487	0.0123	0.6373	0.6618	612	397
condition-1-en-5k	en	1	sib200	en	ur	n	n	3	0.4804	0.0085	0.4755	0.4902	612	294
condition-1-en-5k	en	1	sib200	en	zh	n	n	3	0.7059	0.0085	0.6961	0.7108	612	432
condition-1-en-5k	en	1	sib200	es	en	n	y	3	0.7582	0.0057	0.7549	0.7647	612	464
condition-1-en-5k	en	1	sib200	es	es	y	n	3	0.6389	0.0075	0.6324	0.6471	612	391
condition-1-en-5k	en	1	sib200	es	ur	n	n	3	0.4935	0.0123	0.4804	0.5049	612	302
condition-1-en-5k	en	1	sib200	es	zh	n	n	3	0.6324	0.0049	0.6275	0.6373	612	387
condition-1-en-5k	en	1	sib200	ur	en	n	y	3	0.6895	0.0123	0.6765	0.7010	612	422
condition-1-en-5k	en	1	sib200	ur	es	n	n	3	0.5180	0.0057	0.5147	0.5245	612	317
condition-1-en-5k	en	1	sib200	ur	ur	y	n	3	0.5588	0.0049	0.5539	0.5637	612	342
condition-1-en-5k	en	1	sib200	ur	zh	n	n	3	0.5539	0.0098	0.5441	0.5637	612	339
condition-1-en-5k	en	1	sib200	zh	en	n	y	3	0.7500	0.0049	0.7451	0.7549	612	459
condition-1-en-5k	en	1	sib200	zh	es	n	n	3	0.5735	0.0147	0.5588	0.5882	612	351
condition-1-en-5k	en	1	sib200	zh	ur	n	n	3	0.5245	0.0049	0.5196	0.5294	612	321
condition-1-en-5k	en	1	sib200	zh	zh	y	n	3	0.6650	0.0057	0.6618	0.6716	612	407
condition-1-en-5k	en	1	xnli	en	en	y	y	3	0.5226	0.0026	0.5206	0.5255	15030	7855
condition-1-en-5k	en	1	xnli	en	es	n	n	3	0.4161	0.0039	0.4122	0.4200	15030	6254
condition-1-en-5k	en	1	xnli	en	ur	n	n	3	0.4253	0.0087	0.4200	0.4353	15030	6392
condition-1-en-5k	en	1	xnli	en	zh	n	n	3	0.3340	0.0004	0.3335	0.3343	15030	5020
condition-1-en-5k	en	1	xnli	es	en	n	y	3	0.4687	0.0030	0.4657	0.4717	15030	7045
condition-1-en-5k	en	1	xnli	es	es	y	n	3	0.4623	0.0038	0.4581	0.4653	15030	6949
condition-1-en-5k	en	1	xnli	es	ur	n	n	3	0.3516	0.0033	0.3489	0.3553	15030	5284
condition-1-en-5k	en	1	xnli	es	zh	n	n	3	0.3343	0.0006	0.3337	0.3349	15030	5024
condition-1-en-5k	en	1	xnli	ur	en	n	y	3	0.4375	0.0028	0.4347	0.4403	15030	6576
condition-1-en-5k	en	1	xnli	ur	es	n	n	3	0.3844	0.0014	0.3828	0.3856	15030	5777
condition-1-en-5k	en	1	xnli	ur	ur	y	n	3	0.3336	0.0009	0.3325	0.3343	15030	5014
condition-1-en-5k	en	1	xnli	ur	zh	n	n	3	0.3331	0.0002	0.3329	0.3333	15030	5007
condition-1-en-5k	en	1	xnli	zh	en	n	y	3	0.4034	0.0047	0.3984	0.4078	15030	6063
condition-1-en-5k	en	1	xnli	zh	es	n	n	3	0.3333	0.0000	0.3333	0.3333	15030	5010
condition-1-en-5k	en	1	xnli	zh	ur	n	n	3	0.3373	0.0004	0.3369	0.3377	15030	5069
condition-1-en-5k	en	1	xnli	zh	zh	y	n	3	0.3349	0.0040	0.3321	0.3395	15030	5034
condition-1-en-5k	en	2	belebele	en	en	y	y	3	0.7870	0.0017	0.7856	0.7889	2700	2125
condition-1-en-5k	en	2	belebele	en	es	n	n	3	0.7830	0.0023	0.7811	0.7856	2700	2114
condition-1-en-5k	en	2	belebele	en	ur	n	n	3	0.7611	0.0011	0.7600	0.7622	2700	2055
condition-1-en-5k	en	2	belebele	en	zh	n	n	3	0.8015	0.0042	0.7967	0.8044	2700	2164
condition-1-en-5k	en	2	belebele	es	en	n	y	3	0.7096	0.0028	0.7067	0.7122	2700	1916
condition-1-en-5k	en	2	belebele	es	es	y	n	3	0.6952	0.0028	0.6922	0.6978	2700	1877
condition-1-en-5k	en	2	belebele	es	ur	n	n	3	0.6456	0.0059	0.6389	0.6500	2700	1743
condition-1-en-5k	en	2	belebele	es	zh	n	n	3	0.7193	0.0026	0.7178	0.7222	2700	1942
condition-1-en-5k	en	2	belebele	ur	en	n	y	3	0.6200	0.0040	0.6156	0.6233	2700	1674
condition-1-en-5k	en	2	belebele	ur	es	n	n	3	0.5622	0.0058	0.5556	0.5656	2700	1518
condition-1-en-5k	en	2	belebele	ur	ur	y	n	3	0.5256	0.0029	0.5233	0.5289	2700	1419
condition-1-en-5k	en	2	belebele	ur	zh	n	n	3	0.6030	0.0034	0.6000	0.6067	2700	1628
condition-1-en-5k	en	2	belebele	zh	en	n	y	3	0.7637	0.0023	0.7611	0.7656	2700	2062
condition-1-en-5k	en	2	belebele	zh	es	n	n	3	0.7352	0.0013	0.7344	0.7367	2700	1985
condition-1-en-5k	en	2	belebele	zh	ur	n	n	3	0.7093	0.0006	0.7089	0.7100	2700	1915
condition-1-en-5k	en	2	belebele	zh	zh	y	n	3	0.7578	0.0038	0.7556	0.7622	2700	2046
condition-1-en-5k	en	2	csqa	en	en	y	y	3	0.6113	0.0040	0.6090	0.6160	3000	1834
condition-1-en-5k	en	2	csqa	en	es	n	n	3	0.6187	0.0012	0.6180	0.6200	3000	1856
condition-1-en-5k	en	2	csqa	en	ur	n	n	3	0.5860	0.0010	0.5850	0.5870	3000	1758
condition-1-en-5k	en	2	csqa	en	zh	n	n	3	0.6363	0.0085	0.6280	0.6450	3000	1909
condition-1-en-5k	en	2	csqa	es	en	n	y	3	0.5260	0.0062	0.5190	0.5310	3000	1578
condition-1-en-5k	en	2	csqa	es	es	y	n	3	0.5340	0.0026	0.5310	0.5360	3000	1602
condition-1-en-5k	en	2	csqa	es	ur	n	n	3	0.4830	0.0030	0.4800	0.4860	3000	1449
condition-1-en-5k	en	2	csqa	es	zh	n	n	3	0.5293	0.0051	0.5250	0.5350	3000	1588
condition-1-en-5k	en	2	csqa	ur	en	n	y	3	0.4197	0.0023	0.4170	0.4210	3000	1259
condition-1-en-5k	en	2	csqa	ur	es	n	n	3	0.3940	0.0026	0.3910	0.3960	3000	1182
condition-1-en-5k	en	2	csqa	ur	ur	y	n	3	0.3920	0.0030	0.3890	0.3950	3000	1176
condition-1-en-5k	en	2	csqa	ur	zh	n	n	3	0.4030	0.0040	0.3990	0.4070	3000	1209
condition-1-en-5k	en	2	csqa	zh	en	n	y	3	0.5323	0.0032	0.5300	0.5360	3000	1597
condition-1-en-5k	en	2	csqa	zh	es	n	n	3	0.5043	0.0006	0.5040	0.5050	3000	1513
condition-1-en-5k	en	2	csqa	zh	ur	n	n	3	0.4663	0.0038	0.4620	0.4690	3000	1399
condition-1-en-5k	en	2	csqa	zh	zh	y	n	3	0.5343	0.0025	0.5320	0.5370	3000	1603
condition-1-en-5k	en	2	sib200	en	en	y	y	3	0.7092	0.0075	0.7010	0.7157	612	434
condition-1-en-5k	en	2	sib200	en	es	n	n	3	0.5131	0.0158	0.4951	0.5245	612	314
condition-1-en-5k	en	2	sib200	en	ur	n	n	3	0.4232	0.0113	0.4167	0.4363	612	259
condition-1-en-5k	en	2	sib200	en	zh	n	n	3	0.6503	0.0028	0.6471	0.6520	612	398
condition-1-en-5k	en	2	sib200	es	en	n	y	3	0.6585	0.0075	0.6520	0.6667	612	403
condition-1-en-5k	en	2	sib200	es	es	y	n	3	0.5000	0.0049	0.4951	0.5049	612	306
condition-1-en-5k	en	2	sib200	es	ur	n	n	3	0.3693	0.0172	0.3529	0.3873	612	226
condition-1-en-5k	en	2	sib200	es	zh	n	n	3	0.5752	0.0028	0.5735	0.5784	612	352
condition-1-en-5k	en	2	sib200	ur	en	n	y	3	0.6667	0.0085	0.6569	0.6716	612	408
condition-1-en-5k	en	2	sib200	ur	es	n	n	3	0.5637	0.0245	0.5392	0.5882	612	345
condition-1-en-5k	en	2	sib200	ur	ur	y	n	3	0.5441	0.0049	0.5392	0.5490	612	333
condition-1-en-5k	en	2	sib200	ur	zh	n	n	3	0.5294	0.0085	0.5196	0.5343	612	324
condition-1-en-5k	en	2	sib200	zh	en	n	y	3	0.6716	0.0085	0.6667	0.6814	612	411
condition-1-en-5k	en	2	sib200	zh	es	n	n	3	0.5376	0.0075	0.5294	0.5441	612	329
condition-1-en-5k	en	2	sib200	zh	ur	n	n	3	0.4853	0.0098	0.4755	0.4951	612	297
condition-1-en-5k	en	2	sib200	zh	zh	y	n	3	0.6242	0.0028	0.6225	0.6275	612	382
condition-1-en-5k	en	2	xnli	en	en	y	y	3	0.3565	0.0067	0.3489	0.3617	15030	5358
condition-1-en-5k	en	2	xnli	en	es	n	n	3	0.3904	0.0020	0.3880	0.3916	15030	5867
condition-1-en-5k	en	2	xnli	en	ur	n	n	3	0.2512	0.0164	0.2413	0.2701	15030	3775
condition-1-en-5k	en	2	xnli	en	zh	n	n	3	0.3840	0.0114	0.3715	0.3936	15030	5771
condition-1-en-5k	en	2	xnli	es	en	n	y	3	0.3547	0.0065	0.3477	0.3607	15030	5331
condition-1-en-5k	en	2	xnli	es	es	y	n	3	0.3766	0.0031	0.3735	0.3796	15030	5661
condition-1-en-5k	en	2	xnli	es	ur	n	n	3	0.3191	0.0089	0.3124	0.3291	15030	4796
condition-1-en-5k	en	2	xnli	es	zh	n	n	3	0.3463	0.0154	0.3285	0.3557	15030	5205
condition-1-en-5k	en	2	xnli	ur	en	n	y	3	0.3330	0.0008	0.3325	0.3339	15030	5005
condition-1-en-5k	en	2	xnli	ur	es	n	n	3	0.3744	0.0081	0.3651	0.3798	15030	5627
condition-1-en-5k	en	2	xnli	ur	ur	y	n	3	0.3246	0.0024	0.3230	0.3273	15030	4879
condition-1-en-5k	en	2	xnli	ur	zh	n	n	3	0.2758	0.0101	0.2663	0.2864	15030	4146
condition-1-en-5k	en	2	xnli	zh	en	n	y	3	0.4415	0.0167	0.4261	0.4593	15030	6635
condition-1-en-5k	en	2	xnli	zh	es	n	n	3	0.3677	0.0085	0.3587	0.3756	15030	5527
condition-1-en-5k	en	2	xnli	zh	ur	n	n	3	0.3365	0.0004	0.3361	0.3369	15030	5057
condition-1-en-5k	en	2	xnli	zh	zh	y	n	3	0.2910	0.0151	0.2745	0.3042	15030	4373
condition-2-es-20k	es	1	belebele	en	en	y	n	1	0.7878	nan	0.7878	0.7878	900	709
condition-2-es-20k	es	1	belebele	en	es	n	y	1	0.7744	nan	0.7744	0.7744	900	697
condition-2-es-20k	es	1	belebele	es	en	n	n	1	0.7022	nan	0.7022	0.7022	900	632
condition-2-es-20k	es	1	belebele	es	es	y	y	1	0.6678	nan	0.6678	0.6678	900	601
condition-2-es-20k	es	1	belebele	ur	en	n	n	1	0.6089	nan	0.6089	0.6089	900	548
condition-2-es-20k	es	1	belebele	ur	es	n	y	1	0.5444	nan	0.5444	0.5444	900	490
condition-2-es-20k	es	1	belebele	zh	en	n	n	1	0.7556	nan	0.7556	0.7556	900	680
condition-2-es-20k	es	1	belebele	zh	es	n	y	1	0.7156	nan	0.7156	0.7156	900	644
condition-2-es-20k	es	1	csqa	en	en	y	n	1	0.6010	nan	0.6010	0.6010	1000	601
condition-2-es-20k	es	1	csqa	en	es	n	y	1	0.6100	nan	0.6100	0.6100	1000	610
condition-2-es-20k	es	1	csqa	es	en	n	n	1	0.5360	nan	0.5360	0.5360	1000	536
condition-2-es-20k	es	1	csqa	es	es	y	y	1	0.5400	nan	0.5400	0.5400	1000	540
condition-2-es-20k	es	1	csqa	ur	en	n	n	1	0.4180	nan	0.4180	0.4180	1000	418
condition-2-es-20k	es	1	csqa	ur	es	n	y	1	0.3950	nan	0.3950	0.3950	1000	395
condition-2-es-20k	es	1	csqa	zh	en	n	n	1	0.5490	nan	0.5490	0.5490	1000	549
condition-2-es-20k	es	1	csqa	zh	es	n	y	1	0.5230	nan	0.5230	0.5230	1000	523
condition-2-es-20k	es	1	sib200	en	en	y	n	1	0.7549	nan	0.7549	0.7549	204	154
condition-2-es-20k	es	1	sib200	en	es	n	y	1	0.6814	nan	0.6814	0.6814	204	139
condition-2-es-20k	es	1	sib200	es	en	n	n	1	0.7598	nan	0.7598	0.7598	204	155
condition-2-es-20k	es	1	sib200	es	es	y	y	1	0.6765	nan	0.6765	0.6765	204	138
condition-2-es-20k	es	1	sib200	ur	en	n	n	1	0.7108	nan	0.7108	0.7108	204	145
condition-2-es-20k	es	1	sib200	ur	es	n	y	1	0.5686	nan	0.5686	0.5686	204	116
condition-2-es-20k	es	1	sib200	zh	en	n	n	1	0.7647	nan	0.7647	0.7647	204	156
condition-2-es-20k	es	1	sib200	zh	es	n	y	1	0.6520	nan	0.6520	0.6520	204	133
condition-2-es-20k	es	1	xnli	en	en	y	n	1	0.4986	nan	0.4986	0.4986	5010	2498
condition-2-es-20k	es	1	xnli	en	es	n	y	1	0.4194	nan	0.4194	0.4194	5010	2101
condition-2-es-20k	es	1	xnli	es	en	n	n	1	0.4631	nan	0.4631	0.4631	5010	2320
condition-2-es-20k	es	1	xnli	es	es	y	y	1	0.4042	nan	0.4042	0.4042	5010	2025
condition-2-es-20k	es	1	xnli	ur	en	n	n	1	0.4381	nan	0.4381	0.4381	5010	2195
condition-2-es-20k	es	1	xnli	ur	es	n	y	1	0.4277	nan	0.4277	0.4277	5010	2143
condition-2-es-20k	es	1	xnli	zh	en	n	n	1	0.3852	nan	0.3852	0.3852	5010	1930
condition-2-es-20k	es	1	xnli	zh	es	n	y	1	0.3371	nan	0.3371	0.3371	5010	1689
condition-2-es-20k	es	2	belebele	en	en	y	n	1	0.7867	nan	0.7867	0.7867	900	708
condition-2-es-20k	es	2	belebele	en	es	n	y	1	0.7944	nan	0.7944	0.7944	900	715
condition-2-es-20k	es	2	belebele	es	en	n	n	1	0.7222	nan	0.7222	0.7222	900	650
condition-2-es-20k	es	2	belebele	es	es	y	y	1	0.6978	nan	0.6978	0.6978	900	628
condition-2-es-20k	es	2	belebele	ur	en	n	n	1	0.6178	nan	0.6178	0.6178	900	556
condition-2-es-20k	es	2	belebele	ur	es	n	y	1	0.5878	nan	0.5878	0.5878	900	529
condition-2-es-20k	es	2	belebele	zh	en	n	n	1	0.7667	nan	0.7667	0.7667	900	690
condition-2-es-20k	es	2	belebele	zh	es	n	y	1	0.7433	nan	0.7433	0.7433	900	669
condition-2-es-20k	es	2	csqa	en	en	y	n	1	0.6020	nan	0.6020	0.6020	1000	602
condition-2-es-20k	es	2	csqa	en	es	n	y	1	0.6300	nan	0.6300	0.6300	1000	630
condition-2-es-20k	es	2	csqa	es	en	n	n	1	0.5240	nan	0.5240	0.5240	1000	524
condition-2-es-20k	es	2	csqa	es	es	y	y	1	0.5520	nan	0.5520	0.5520	1000	552
condition-2-es-20k	es	2	csqa	ur	en	n	n	1	0.4250	nan	0.4250	0.4250	1000	425
condition-2-es-20k	es	2	csqa	ur	es	n	y	1	0.4100	nan	0.4100	0.4100	1000	410
condition-2-es-20k	es	2	csqa	zh	en	n	n	1	0.5350	nan	0.5350	0.5350	1000	535
condition-2-es-20k	es	2	csqa	zh	es	n	y	1	0.5200	nan	0.5200	0.5200	1000	520
condition-2-es-20k	es	2	sib200	en	en	y	n	1	0.6912	nan	0.6912	0.6912	204	141
condition-2-es-20k	es	2	sib200	en	es	n	y	1	0.5049	nan	0.5049	0.5049	204	103
condition-2-es-20k	es	2	sib200	es	en	n	n	1	0.6520	nan	0.6520	0.6520	204	133
condition-2-es-20k	es	2	sib200	es	es	y	y	1	0.5000	nan	0.5000	0.5000	204	102
condition-2-es-20k	es	2	sib200	ur	en	n	n	1	0.6471	nan	0.6471	0.6471	204	132
condition-2-es-20k	es	2	sib200	ur	es	n	y	1	0.4314	nan	0.4314	0.4314	204	88
condition-2-es-20k	es	2	sib200	zh	en	n	n	1	0.6373	nan	0.6373	0.6373	204	130
condition-2-es-20k	es	2	sib200	zh	es	n	y	1	0.5245	nan	0.5245	0.5245	204	107
condition-2-es-20k	es	2	xnli	en	en	y	n	1	0.4084	nan	0.4084	0.4084	5010	2046
condition-2-es-20k	es	2	xnli	en	es	n	y	1	0.4509	nan	0.4509	0.4509	5010	2259
condition-2-es-20k	es	2	xnli	es	en	n	n	1	0.3794	nan	0.3794	0.3794	5010	1901
condition-2-es-20k	es	2	xnli	es	es	y	y	1	0.3988	nan	0.3988	0.3988	5010	1998
condition-2-es-20k	es	2	xnli	ur	en	n	n	1	0.3325	nan	0.3325	0.3325	5010	1666
condition-2-es-20k	es	2	xnli	ur	es	n	y	1	0.3950	nan	0.3950	0.3950	5010	1979
condition-2-es-20k	es	2	xnli	zh	en	n	n	1	0.4838	nan	0.4838	0.4838	5010	2424
condition-2-es-20k	es	2	xnli	zh	es	n	y	1	0.3737	nan	0.3737	0.3737	5010	1872
condition-2-es-5k	es	1	belebele	en	en	y	n	3	0.7826	0.0023	0.7800	0.7844	2700	2113
condition-2-es-5k	es	1	belebele	en	es	n	y	3	0.7704	0.0057	0.7656	0.7767	2700	2080
condition-2-es-5k	es	1	belebele	es	en	n	n	3	0.7074	0.0017	0.7056	0.7089	2700	1910
condition-2-es-5k	es	1	belebele	es	es	y	y	3	0.6744	0.0011	0.6733	0.6756	2700	1821
condition-2-es-5k	es	1	belebele	ur	en	n	n	3	0.6111	0.0022	0.6089	0.6133	2700	1650
condition-2-es-5k	es	1	belebele	ur	es	n	y	3	0.5596	0.0084	0.5500	0.5656	2700	1511
condition-2-es-5k	es	1	belebele	zh	en	n	n	3	0.7593	0.0061	0.7522	0.7633	2700	2050
condition-2-es-5k	es	1	belebele	zh	es	n	y	3	0.7222	0.0069	0.7167	0.7300	2700	1950
condition-2-es-5k	es	1	csqa	en	en	y	n	3	0.6063	0.0067	0.6020	0.6140	3000	1819
condition-2-es-5k	es	1	csqa	en	es	n	y	3	0.6040	0.0036	0.6000	0.6070	3000	1812
condition-2-es-5k	es	1	csqa	es	en	n	n	3	0.5330	0.0061	0.5260	0.5370	3000	1599
condition-2-es-5k	es	1	csqa	es	es	y	y	3	0.5387	0.0042	0.5340	0.5420	3000	1616
condition-2-es-5k	es	1	csqa	ur	en	n	n	3	0.4133	0.0060	0.4070	0.4190	3000	1240
condition-2-es-5k	es	1	csqa	ur	es	n	y	3	0.4067	0.0023	0.4040	0.4080	3000	1220
condition-2-es-5k	es	1	csqa	zh	en	n	n	3	0.5507	0.0058	0.5440	0.5540	3000	1652
condition-2-es-5k	es	1	csqa	zh	es	n	y	3	0.5077	0.0029	0.5060	0.5110	3000	1523
condition-2-es-5k	es	1	sib200	en	en	y	n	3	0.7647	0.0049	0.7598	0.7696	612	468
condition-2-es-5k	es	1	sib200	en	es	n	y	3	0.6732	0.0028	0.6716	0.6765	612	412
condition-2-es-5k	es	1	sib200	es	en	n	n	3	0.7631	0.0075	0.7549	0.7696	612	467
condition-2-es-5k	es	1	sib200	es	es	y	y	3	0.6438	0.0028	0.6422	0.6471	612	394
condition-2-es-5k	es	1	sib200	ur	en	n	n	3	0.6993	0.0028	0.6961	0.7010	612	428
condition-2-es-5k	es	1	sib200	ur	es	n	y	3	0.5359	0.0102	0.5245	0.5441	612	328
condition-2-es-5k	es	1	sib200	zh	en	n	n	3	0.7680	0.0028	0.7647	0.7696	612	470
condition-2-es-5k	es	1	sib200	zh	es	n	y	3	0.6389	0.0102	0.6275	0.6471	612	391
condition-2-es-5k	es	1	xnli	en	en	y	n	3	0.5261	0.0027	0.5244	0.5291	15030	7907
condition-2-es-5k	es	1	xnli	en	es	n	y	3	0.4833	0.0261	0.4569	0.5090	15030	7264
condition-2-es-5k	es	1	xnli	es	en	n	n	3	0.4817	0.0100	0.4756	0.4932	15030	7240
condition-2-es-5k	es	1	xnli	es	es	y	y	3	0.4607	0.0233	0.4339	0.4762	15030	6925
condition-2-es-5k	es	1	xnli	ur	en	n	n	3	0.4454	0.0016	0.4437	0.4469	15030	6694
condition-2-es-5k	es	1	xnli	ur	es	n	y	3	0.4398	0.0037	0.4357	0.4431	15030	6610
condition-2-es-5k	es	1	xnli	zh	en	n	n	3	0.4263	0.0083	0.4210	0.4359	15030	6408
condition-2-es-5k	es	1	xnli	zh	es	n	y	3	0.3538	0.0117	0.3435	0.3665	15030	5317
condition-2-es-5k	es	2	belebele	en	en	y	n	3	0.7870	0.0042	0.7822	0.7900	2700	2125
condition-2-es-5k	es	2	belebele	en	es	n	y	3	0.7919	0.0032	0.7900	0.7956	2700	2138
condition-2-es-5k	es	2	belebele	es	en	n	n	3	0.7174	0.0065	0.7100	0.7222	2700	1937
condition-2-es-5k	es	2	belebele	es	es	y	y	3	0.7093	0.0053	0.7033	0.7133	2700	1915
condition-2-es-5k	es	2	belebele	ur	en	n	n	3	0.6259	0.0042	0.6211	0.6289	2700	1690
condition-2-es-5k	es	2	belebele	ur	es	n	y	3	0.5922	0.0033	0.5889	0.5956	2700	1599
condition-2-es-5k	es	2	belebele	zh	en	n	n	3	0.7648	0.0028	0.7622	0.7678	2700	2065
condition-2-es-5k	es	2	belebele	zh	es	n	y	3	0.7467	0.0019	0.7456	0.7489	2700	2016
condition-2-es-5k	es	2	csqa	en	en	y	n	3	0.6063	0.0032	0.6040	0.6100	3000	1819
condition-2-es-5k	es	2	csqa	en	es	n	y	3	0.6220	0.0017	0.6210	0.6240	3000	1866
condition-2-es-5k	es	2	csqa	es	en	n	n	3	0.5287	0.0029	0.5270	0.5320	3000	1586
condition-2-es-5k	es	2	csqa	es	es	y	y	3	0.5430	0.0026	0.5400	0.5450	3000	1629
condition-2-es-5k	es	2	csqa	ur	en	n	n	3	0.4200	0.0020	0.4180	0.4220	3000	1260
condition-2-es-5k	es	2	csqa	ur	es	n	y	3	0.4027	0.0025	0.4000	0.4050	3000	1208
condition-2-es-5k	es	2	csqa	zh	en	n	n	3	0.5413	0.0040	0.5370	0.5450	3000	1624
condition-2-es-5k	es	2	csqa	zh	es	n	y	3	0.5093	0.0040	0.5070	0.5140	3000	1528
condition-2-es-5k	es	2	sib200	en	en	y	n	3	0.6961	0.0085	0.6912	0.7059	612	426
condition-2-es-5k	es	2	sib200	en	es	n	y	3	0.4886	0.0028	0.4853	0.4902	612	299
condition-2-es-5k	es	2	sib200	es	en	n	n	3	0.6503	0.0028	0.6471	0.6520	612	398
condition-2-es-5k	es	2	sib200	es	es	y	y	3	0.4788	0.0102	0.4706	0.4902	612	293
condition-2-es-5k	es	2	sib200	ur	en	n	n	3	0.6601	0.0075	0.6520	0.6667	612	404
condition-2-es-5k	es	2	sib200	ur	es	n	y	3	0.4477	0.0242	0.4314	0.4755	612	274
condition-2-es-5k	es	2	sib200	zh	en	n	n	3	0.6536	0.0057	0.6471	0.6569	612	400
condition-2-es-5k	es	2	sib200	zh	es	n	y	3	0.5033	0.0057	0.5000	0.5098	612	308
condition-2-es-5k	es	2	xnli	en	en	y	n	3	0.3601	0.0069	0.3525	0.3659	15030	5412
condition-2-es-5k	es	2	xnli	en	es	n	y	3	0.3947	0.0158	0.3824	0.4126	15030	5932
condition-2-es-5k	es	2	xnli	es	en	n	n	3	0.3546	0.0058	0.3483	0.3599	15030	5329
condition-2-es-5k	es	2	xnli	es	es	y	y	3	0.3858	0.0137	0.3764	0.4016	15030	5799
condition-2-es-5k	es	2	xnli	ur	en	n	n	3	0.3340	0.0005	0.3335	0.3345	15030	5020
condition-2-es-5k	es	2	xnli	ur	es	n	y	3	0.4003	0.0046	0.3954	0.4044	15030	6017
condition-2-es-5k	es	2	xnli	zh	en	n	n	3	0.4148	0.0087	0.4072	0.4244	15030	6235
condition-2-es-5k	es	2	xnli	zh	es	n	y	3	0.3610	0.0094	0.3553	0.3719	15030	5426
condition-2-ur-20k	ur	1	belebele	en	en	y	n	1	0.7922	nan	0.7922	0.7922	900	713
condition-2-ur-20k	ur	1	belebele	en	ur	n	y	1	0.7856	nan	0.7856	0.7856	900	707
condition-2-ur-20k	ur	1	belebele	es	en	n	n	1	0.7144	nan	0.7144	0.7144	900	643
condition-2-ur-20k	ur	1	belebele	es	ur	n	y	1	0.6889	nan	0.6889	0.6889	900	620
condition-2-ur-20k	ur	1	belebele	ur	en	n	n	1	0.6000	nan	0.6000	0.6000	900	540
condition-2-ur-20k	ur	1	belebele	ur	ur	y	y	1	0.5000	nan	0.5000	0.5000	900	450
condition-2-ur-20k	ur	1	belebele	zh	en	n	n	1	0.7678	nan	0.7678	0.7678	900	691
condition-2-ur-20k	ur	1	belebele	zh	ur	n	y	1	0.7500	nan	0.7500	0.7500	900	675
condition-2-ur-20k	ur	1	csqa	en	en	y	n	1	0.6170	nan	0.6170	0.6170	1000	617
condition-2-ur-20k	ur	1	csqa	en	ur	n	y	1	0.6100	nan	0.6100	0.6100	1000	610
condition-2-ur-20k	ur	1	csqa	es	en	n	n	1	0.5430	nan	0.5430	0.5430	1000	543
condition-2-ur-20k	ur	1	csqa	es	ur	n	y	1	0.4990	nan	0.4990	0.4990	1000	499
condition-2-ur-20k	ur	1	csqa	ur	en	n	n	1	0.3740	nan	0.3740	0.3740	1000	374
condition-2-ur-20k	ur	1	csqa	ur	ur	y	y	1	0.3410	nan	0.3410	0.3410	1000	341
condition-2-ur-20k	ur	1	csqa	zh	en	n	n	1	0.5490	nan	0.5490	0.5490	1000	549
condition-2-ur-20k	ur	1	csqa	zh	ur	n	y	1	0.4970	nan	0.4970	0.4970	1000	497
condition-2-ur-20k	ur	1	sib200	en	en	y	n	1	0.7647	nan	0.7647	0.7647	204	156
condition-2-ur-20k	ur	1	sib200	en	ur	n	y	1	0.3725	nan	0.3725	0.3725	204	76
condition-2-ur-20k	ur	1	sib200	es	en	n	n	1	0.7304	nan	0.7304	0.7304	204	149
condition-2-ur-20k	ur	1	sib200	es	ur	n	y	1	0.3137	nan	0.3137	0.3137	204	64
condition-2-ur-20k	ur	1	sib200	ur	en	n	n	1	0.6569	nan	0.6569	0.6569	204	134
condition-2-ur-20k	ur	1	sib200	ur	ur	y	y	1	0.2598	nan	0.2598	0.2598	204	53
condition-2-ur-20k	ur	1	sib200	zh	en	n	n	1	0.7304	nan	0.7304	0.7304	204	149
condition-2-ur-20k	ur	1	sib200	zh	ur	n	y	1	0.3971	nan	0.3971	0.3971	204	81
condition-2-ur-20k	ur	1	xnli	en	en	y	n	1	0.5379	nan	0.5379	0.5379	5010	2695
condition-2-ur-20k	ur	1	xnli	en	ur	n	y	1	0.4595	nan	0.4595	0.4595	5010	2302
