condition	target_lang	template	benchmark	data	instr	matched_diagonal	matched_instr	n_seeds	mean_acc	std_acc	min_acc	max_acc	total_count	total_correct
baseline		2	belebele	es	zh	n	n	1	0.7167	nan	0.7167	0.7167	900	645
baseline		2	belebele	ur	en	n	n	1	0.6144	nan	0.6144	0.6144	900	553
baseline		2	belebele	ur	es	n	n	1	0.5544	nan	0.5544	0.5544	900	499
baseline		2	belebele	ur	ur	y	n	1	0.5233	nan	0.5233	0.5233	900	471
baseline		2	belebele	ur	zh	n	n	1	0.6067	nan	0.6067	0.6067	900	546
baseline		2	belebele	zh	en	n	n	1	0.7589	nan	0.7589	0.7589	900	683
baseline		2	belebele	zh	es	n	n	1	0.7367	nan	0.7367	0.7367	900	663
baseline		2	belebele	zh	ur	n	n	1	0.7000	nan	0.7000	0.7000	900	630
baseline		2	belebele	zh	zh	y	n	1	0.7611	nan	0.7611	0.7611	900	685
baseline		2	csqa	en	en	y	n	1	0.6070	nan	0.6070	0.6070	1000	607
baseline		2	csqa	en	es	n	n	1	0.6230	nan	0.6230	0.6230	1000	623
baseline		2	csqa	en	ur	n	n	1	0.5790	nan	0.5790	0.5790	1000	579
baseline		2	csqa	en	zh	n	n	1	0.6310	nan	0.6310	0.6310	1000	631
baseline		2	csqa	es	en	n	n	1	0.5170	nan	0.5170	0.5170	1000	517
baseline		2	csqa	es	es	y	n	1	0.5320	nan	0.5320	0.5320	1000	532
baseline		2	csqa	es	ur	n	n	1	0.4800	nan	0.4800	0.4800	1000	480
baseline		2	csqa	es	zh	n	n	1	0.5300	nan	0.5300	0.5300	1000	530
baseline		2	csqa	ur	en	n	n	1	0.4170	nan	0.4170	0.4170	1000	417
baseline		2	csqa	ur	es	n	n	1	0.3930	nan	0.3930	0.3930	1000	393
baseline		2	csqa	ur	ur	y	n	1	0.3920	nan	0.3920	0.3920	1000	392
baseline		2	csqa	ur	zh	n	n	1	0.4020	nan	0.4020	0.4020	1000	402
baseline		2	csqa	zh	en	n	n	1	0.5320	nan	0.5320	0.5320	1000	532
baseline		2	csqa	zh	es	n	n	1	0.5100	nan	0.5100	0.5100	1000	510
baseline		2	csqa	zh	ur	n	n	1	0.4660	nan	0.4660	0.4660	1000	466
baseline		2	csqa	zh	zh	y	n	1	0.5320	nan	0.5320	0.5320	1000	532
baseline		2	sib200	en	en	y	n	1	0.7206	nan	0.7206	0.7206	204	147
baseline		2	sib200	en	es	n	n	1	0.5539	nan	0.5539	0.5539	204	113
baseline		2	sib200	en	ur	n	n	1	0.3971	nan	0.3971	0.3971	204	81
baseline		2	sib200	en	zh	n	n	1	0.6520	nan	0.6520	0.6520	204	133
baseline		2	sib200	es	en	n	n	1	0.6765	nan	0.6765	0.6765	204	138
baseline		2	sib200	es	es	y	n	1	0.5147	nan	0.5147	0.5147	204	105
baseline		2	sib200	es	ur	n	n	1	0.3088	nan	0.3088	0.3088	204	63
baseline		2	sib200	es	zh	n	n	1	0.5931	nan	0.5931	0.5931	204	121
baseline		2	sib200	ur	en	n	n	1	0.6814	nan	0.6814	0.6814	204	139
baseline		2	sib200	ur	es	n	n	1	0.6127	nan	0.6127	0.6127	204	125
baseline		2	sib200	ur	ur	y	n	1	0.5294	nan	0.5294	0.5294	204	108
baseline		2	sib200	ur	zh	n	n	1	0.5343	nan	0.5343	0.5343	204	109
baseline		2	sib200	zh	en	n	n	1	0.6961	nan	0.6961	0.6961	204	142
baseline		2	sib200	zh	es	n	n	1	0.5588	nan	0.5588	0.5588	204	114
baseline		2	sib200	zh	ur	n	n	1	0.3971	nan	0.3971	0.3971	204	81
baseline		2	sib200	zh	zh	y	n	1	0.6225	nan	0.6225	0.6225	204	127
baseline		2	xnli	en	en	y	n	1	0.3786	nan	0.3786	0.3786	5010	1897
baseline		2	xnli	en	es	n	n	1	0.3806	nan	0.3806	0.3806	5010	1907
baseline		2	xnli	en	ur	n	n	1	0.2589	nan	0.2589	0.2589	5010	1297
baseline		2	xnli	en	zh	n	n	1	0.3337	nan	0.3337	0.3337	5010	1672
baseline		2	xnli	es	en	n	n	1	0.3661	nan	0.3661	0.3661	5010	1834
baseline		2	xnli	es	es	y	n	1	0.3770	nan	0.3770	0.3770	5010	1889
baseline		2	xnli	es	ur	n	n	1	0.3319	nan	0.3319	0.3319	5010	1663
baseline		2	xnli	es	zh	n	n	1	0.2369	nan	0.2369	0.2369	5010	1187
baseline		2	xnli	ur	en	n	n	1	0.3357	nan	0.3357	0.3357	5010	1682
baseline		2	xnli	ur	es	n	n	1	0.2499	nan	0.2499	0.2499	5010	1252
baseline		2	xnli	ur	ur	y	n	1	0.3228	nan	0.3228	0.3228	5010	1617
baseline		2	xnli	ur	zh	n	n	1	0.2078	nan	0.2078	0.2078	5010	1041
baseline		2	xnli	zh	en	n	n	1	0.4649	nan	0.4649	0.4649	5010	2329
baseline		2	xnli	zh	es	n	n	1	0.3637	nan	0.3637	0.3637	5010	1822
baseline		2	xnli	zh	ur	n	n	1	0.3341	nan	0.3341	0.3341	5010	1674
baseline		2	xnli	zh	zh	y	n	1	0.2491	nan	0.2491	0.2491	5010	1248
condition-1-en-20k	en	1	belebele	en	en	y	y	1	0.7767	nan	0.7767	0.7767	900	699
condition-1-en-20k	en	1	belebele	en	es	n	n	1	0.7611	nan	0.7611	0.7611	900	685
condition-1-en-20k	en	1	belebele	en	ur	n	n	1	0.7611	nan	0.7611	0.7611	900	685
condition-1-en-20k	en	1	belebele	en	zh	n	n	1	0.7900	nan	0.7900	0.7900	900	711
condition-1-en-20k	en	1	belebele	es	en	n	y	1	0.7000	nan	0.7000	0.7000	900	630
condition-1-en-20k	en	1	belebele	es	es	y	n	1	0.6667	nan	0.6667	0.6667	900	600
condition-1-en-20k	en	1	belebele	es	ur	n	n	1	0.6344	nan	0.6344	0.6344	900	571
condition-1-en-20k	en	1	belebele	es	zh	n	n	1	0.6989	nan	0.6989	0.6989	900	629
condition-1-en-20k	en	1	belebele	ur	en	n	y	1	0.6144	nan	0.6144	0.6144	900	553
condition-1-en-20k	en	1	belebele	ur	es	n	n	1	0.5389	nan	0.5389	0.5389	900	485
condition-1-en-20k	en	1	belebele	ur	ur	y	n	1	0.5233	nan	0.5233	0.5233	900	471
condition-1-en-20k	en	1	belebele	ur	zh	n	n	1	0.5944	nan	0.5944	0.5944	900	535
condition-1-en-20k	en	1	belebele	zh	en	n	y	1	0.7600	nan	0.7600	0.7600	900	684
condition-1-en-20k	en	1	belebele	zh	es	n	n	1	0.7011	nan	0.7011	0.7011	900	631
condition-1-en-20k	en	1	belebele	zh	ur	n	n	1	0.7044	nan	0.7044	0.7044	900	634
condition-1-en-20k	en	1	belebele	zh	zh	y	n	1	0.7656	nan	0.7656	0.7656	900	689
condition-1-en-20k	en	1	csqa	en	en	y	y	1	0.6150	nan	0.6150	0.6150	1000	615
condition-1-en-20k	en	1	csqa	en	es	n	n	1	0.6140	nan	0.6140	0.6140	1000	614
condition-1-en-20k	en	1	csqa	en	ur	n	n	1	0.5930	nan	0.5930	0.5930	1000	593
condition-1-en-20k	en	1	csqa	en	zh	n	n	1	0.6520	nan	0.6520	0.6520	1000	652
condition-1-en-20k	en	1	csqa	es	en	n	y	1	0.5370	nan	0.5370	0.5370	1000	537
condition-1-en-20k	en	1	csqa	es	es	y	n	1	0.5230	nan	0.5230	0.5230	1000	523
condition-1-en-20k	en	1	csqa	es	ur	n	n	1	0.4830	nan	0.4830	0.4830	1000	483
condition-1-en-20k	en	1	csqa	es	zh	n	n	1	0.5530	nan	0.5530	0.5530	1000	553
condition-1-en-20k	en	1	csqa	ur	en	n	y	1	0.4320	nan	0.4320	0.4320	1000	432
condition-1-en-20k	en	1	csqa	ur	es	n	n	1	0.3940	nan	0.3940	0.3940	1000	394
condition-1-en-20k	en	1	csqa	ur	ur	y	n	1	0.4020	nan	0.4020	0.4020	1000	402
condition-1-en-20k	en	1	csqa	ur	zh	n	n	1	0.3960	nan	0.3960	0.3960	1000	396
condition-1-en-20k	en	1	csqa	zh	en	n	y	1	0.5490	nan	0.5490	0.5490	1000	549
condition-1-en-20k	en	1	csqa	zh	es	n	n	1	0.5110	nan	0.5110	0.5110	1000	511
condition-1-en-20k	en	1	csqa	zh	ur	n	n	1	0.4830	nan	0.4830	0.4830	1000	483
condition-1-en-20k	en	1	csqa	zh	zh	y	n	1	0.5360	nan	0.5360	0.5360	1000	536
condition-1-en-20k	en	1	sib200	en	en	y	y	1	0.7549	nan	0.7549	0.7549	204	154
condition-1-en-20k	en	1	sib200	en	es	n	n	1	0.6176	nan	0.6176	0.6176	204	126
condition-1-en-20k	en	1	sib200	en	ur	n	n	1	0.4951	nan	0.4951	0.4951	204	101
condition-1-en-20k	en	1	sib200	en	zh	n	n	1	0.6961	nan	0.6961	0.6961	204	142
condition-1-en-20k	en	1	sib200	es	en	n	y	1	0.7745	nan	0.7745	0.7745	204	158
condition-1-en-20k	en	1	sib200	es	es	y	n	1	0.6029	nan	0.6029	0.6029	204	123
condition-1-en-20k	en	1	sib200	es	ur	n	n	1	0.5147	nan	0.5147	0.5147	204	105
condition-1-en-20k	en	1	sib200	es	zh	n	n	1	0.6225	nan	0.6225	0.6225	204	127
condition-1-en-20k	en	1	sib200	ur	en	n	y	1	0.6863	nan	0.6863	0.6863	204	140
condition-1-en-20k	en	1	sib200	ur	es	n	n	1	0.5000	nan	0.5000	0.5000	204	102
condition-1-en-20k	en	1	sib200	ur	ur	y	n	1	0.5686	nan	0.5686	0.5686	204	116
condition-1-en-20k	en	1	sib200	ur	zh	n	n	1	0.5245	nan	0.5245	0.5245	204	107
condition-1-en-20k	en	1	sib200	zh	en	n	y	1	0.7647	nan	0.7647	0.7647	204	156
condition-1-en-20k	en	1	sib200	zh	es	n	n	1	0.5490	nan	0.5490	0.5490	204	112
condition-1-en-20k	en	1	sib200	zh	ur	n	n	1	0.5294	nan	0.5294	0.5294	204	108
condition-1-en-20k	en	1	sib200	zh	zh	y	n	1	0.6471	nan	0.6471	0.6471	204	132
condition-1-en-20k	en	1	xnli	en	en	y	y	1	0.5166	nan	0.5166	0.5166	5010	2588
condition-1-en-20k	en	1	xnli	en	es	n	n	1	0.4457	nan	0.4457	0.4457	5010	2233
condition-1-en-20k	en	1	xnli	en	ur	n	n	1	0.4677	nan	0.4677	0.4677	5010	2343
condition-1-en-20k	en	1	xnli	en	zh	n	n	1	0.3329	nan	0.3329	0.3329	5010	1668
condition-1-en-20k	en	1	xnli	es	en	n	y	1	0.4677	nan	0.4677	0.4677	5010	2343
condition-1-en-20k	en	1	xnli	es	es	y	n	1	0.4758	nan	0.4758	0.4758	5010	2384
condition-1-en-20k	en	1	xnli	es	ur	n	n	1	0.3752	nan	0.3752	0.3752	5010	1880
condition-1-en-20k	en	1	xnli	es	zh	n	n	1	0.3337	nan	0.3337	0.3337	5010	1672
condition-1-en-20k	en	1	xnli	ur	en	n	y	1	0.4379	nan	0.4379	0.4379	5010	2194
