target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	1	csqa	zh	ur	n	condition-1-en-20k	20k	n	0.4830	1
en	1	csqa	zh	zh	y	baseline		n	0.5340	1
en	1	csqa	zh	zh	y	condition-1-en-5k	5k	n	0.5267	3
en	1	csqa	zh	zh	y	condition-1-en-20k	20k	n	0.5360	1
en	1	sib200	en	en	y	baseline		n	0.7549	1
en	1	sib200	en	en	y	condition-1-en-5k	5k	y	0.7533	3
en	1	sib200	en	en	y	condition-1-en-20k	20k	y	0.7549	1
en	1	sib200	en	es	n	baseline		n	0.6618	1
en	1	sib200	en	es	n	condition-1-en-5k	5k	n	0.6487	3
en	1	sib200	en	es	n	condition-1-en-20k	20k	n	0.6176	1
en	1	sib200	en	ur	n	baseline		n	0.4951	1
en	1	sib200	en	ur	n	condition-1-en-5k	5k	n	0.4804	3
en	1	sib200	en	ur	n	condition-1-en-20k	20k	n	0.4951	1
en	1	sib200	en	zh	n	baseline		n	0.7157	1
en	1	sib200	en	zh	n	condition-1-en-5k	5k	n	0.7059	3
en	1	sib200	en	zh	n	condition-1-en-20k	20k	n	0.6961	1
en	1	sib200	es	en	n	baseline		n	0.7745	1
en	1	sib200	es	en	n	condition-1-en-5k	5k	y	0.7582	3
en	1	sib200	es	en	n	condition-1-en-20k	20k	y	0.7745	1
en	1	sib200	es	es	y	baseline		n	0.6520	1
en	1	sib200	es	es	y	condition-1-en-5k	5k	n	0.6389	3
en	1	sib200	es	es	y	condition-1-en-20k	20k	n	0.6029	1
en	1	sib200	es	ur	n	baseline		n	0.5343	1
en	1	sib200	es	ur	n	condition-1-en-5k	5k	n	0.4935	3
en	1	sib200	es	ur	n	condition-1-en-20k	20k	n	0.5147	1
en	1	sib200	es	zh	n	baseline		n	0.6373	1
en	1	sib200	es	zh	n	condition-1-en-5k	5k	n	0.6324	3
en	1	sib200	es	zh	n	condition-1-en-20k	20k	n	0.6225	1
en	1	sib200	ur	en	n	baseline		n	0.7255	1
en	1	sib200	ur	en	n	condition-1-en-5k	5k	y	0.6895	3
en	1	sib200	ur	en	n	condition-1-en-20k	20k	y	0.6863	1
en	1	sib200	ur	es	n	baseline		n	0.5343	1
en	1	sib200	ur	es	n	condition-1-en-5k	5k	n	0.5180	3
en	1	sib200	ur	es	n	condition-1-en-20k	20k	n	0.5000	1
en	1	sib200	ur	ur	y	baseline		n	0.5735	1
en	1	sib200	ur	ur	y	condition-1-en-5k	5k	n	0.5588	3
en	1	sib200	ur	ur	y	condition-1-en-20k	20k	n	0.5686	1
en	1	sib200	ur	zh	n	baseline		n	0.5735	1
en	1	sib200	ur	zh	n	condition-1-en-5k	5k	n	0.5539	3
en	1	sib200	ur	zh	n	condition-1-en-20k	20k	n	0.5245	1
en	1	sib200	zh	en	n	baseline		n	0.7892	1
en	1	sib200	zh	en	n	condition-1-en-5k	5k	y	0.7500	3
en	1	sib200	zh	en	n	condition-1-en-20k	20k	y	0.7647	1
en	1	sib200	zh	es	n	baseline		n	0.5882	1
en	1	sib200	zh	es	n	condition-1-en-5k	5k	n	0.5735	3
en	1	sib200	zh	es	n	condition-1-en-20k	20k	n	0.5490	1
en	1	sib200	zh	ur	n	baseline		n	0.5294	1
en	1	sib200	zh	ur	n	condition-1-en-5k	5k	n	0.5245	3
