target_lang	family	template	benchmark	data	instr	matched_instr	matched_diagonal	acc_5k_mean	n_seeds_5k	acc_20k_mean	n_seeds_20k	delta_20k_minus_5k
en	condition-1-en	2	belebele	es	ur	n	n	0.6456	3	0.6422	1	-0.0033
en	condition-1-en	2	belebele	es	zh	n	n	0.7193	3	0.7156	1	-0.0037
en	condition-1-en	2	belebele	ur	en	y	n	0.6200	3	0.6222	1	+0.0022
en	condition-1-en	2	belebele	ur	es	n	n	0.5622	3	0.5656	1	+0.0033
en	condition-1-en	2	belebele	ur	ur	n	y	0.5256	3	0.5156	1	-0.0100
en	condition-1-en	2	belebele	ur	zh	n	n	0.6030	3	0.6056	1	+0.0026
en	condition-1-en	2	belebele	zh	en	y	n	0.7637	3	0.7622	1	-0.0015
en	condition-1-en	2	belebele	zh	es	n	n	0.7352	3	0.7344	1	-0.0007
en	condition-1-en	2	belebele	zh	ur	n	n	0.7093	3	0.7033	1	-0.0059
en	condition-1-en	2	belebele	zh	zh	n	y	0.7578	3	0.7633	1	+0.0056
en	condition-1-en	2	csqa	en	en	y	y	0.6113	3	0.6160	1	+0.0047
en	condition-1-en	2	csqa	en	es	n	n	0.6187	3	0.6210	1	+0.0023
en	condition-1-en	2	csqa	en	ur	n	n	0.5860	3	0.5820	1	-0.0040
en	condition-1-en	2	csqa	en	zh	n	n	0.6363	3	0.6340	1	-0.0023
en	condition-1-en	2	csqa	es	en	y	n	0.5260	3	0.5270	1	+0.0010
en	condition-1-en	2	csqa	es	es	n	y	0.5340	3	0.5350	1	+0.0010
en	condition-1-en	2	csqa	es	ur	n	n	0.4830	3	0.4830	1	+0.0000
en	condition-1-en	2	csqa	es	zh	n	n	0.5293	3	0.5350	1	+0.0057
en	condition-1-en	2	csqa	ur	en	y	n	0.4197	3	0.4210	1	+0.0013
en	condition-1-en	2	csqa	ur	es	n	n	0.3940	3	0.3920	1	-0.0020
en	condition-1-en	2	csqa	ur	ur	n	y	0.3920	3	0.4000	1	+0.0080
en	condition-1-en	2	csqa	ur	zh	n	n	0.4030	3	0.4080	1	+0.0050
en	condition-1-en	2	csqa	zh	en	y	n	0.5323	3	0.5410	1	+0.0087
en	condition-1-en	2	csqa	zh	es	n	n	0.5043	3	0.5040	1	-0.0003
en	condition-1-en	2	csqa	zh	ur	n	n	0.4663	3	0.4750	1	+0.0087
en	condition-1-en	2	csqa	zh	zh	n	y	0.5343	3	0.5370	1	+0.0027
en	condition-1-en	2	sib200	en	en	y	y	0.7092	3	0.6863	1	-0.0229
en	condition-1-en	2	sib200	en	es	n	n	0.5131	3	0.4657	1	-0.0474
en	condition-1-en	2	sib200	en	ur	n	n	0.4232	3	0.4559	1	+0.0327
en	condition-1-en	2	sib200	en	zh	n	n	0.6503	3	0.6373	1	-0.0131
en	condition-1-en	2	sib200	es	en	y	n	0.6585	3	0.6422	1	-0.0163
en	condition-1-en	2	sib200	es	es	n	y	0.5000	3	0.4608	1	-0.0392
en	condition-1-en	2	sib200	es	ur	n	n	0.3693	3	0.4118	1	+0.0425
en	condition-1-en	2	sib200	es	zh	n	n	0.5752	3	0.5833	1	+0.0082
en	condition-1-en	2	sib200	ur	en	y	n	0.6667	3	0.6471	1	-0.0196
en	condition-1-en	2	sib200	ur	es	n	n	0.5637	3	0.5196	1	-0.0441
en	condition-1-en	2	sib200	ur	ur	n	y	0.5441	3	0.5637	1	+0.0196
en	condition-1-en	2	sib200	ur	zh	n	n	0.5294	3	0.5049	1	-0.0245
en	condition-1-en	2	sib200	zh	en	y	n	0.6716	3	0.6324	1	-0.0392
en	condition-1-en	2	sib200	zh	es	n	n	0.5376	3	0.5196	1	-0.0180
en	condition-1-en	2	sib200	zh	ur	n	n	0.4853	3	0.4951	1	+0.0098
en	condition-1-en	2	sib200	zh	zh	n	y	0.6242	3	0.6176	1	-0.0065
en	condition-1-en	2	xnli	en	en	y	y	0.3565	3	0.3447	1	-0.0118
en	condition-1-en	2	xnli	en	es	n	n	0.3904	3	0.3752	1	-0.0151
en	condition-1-en	2	xnli	en	ur	n	n	0.2512	3	0.2493	1	-0.0019
en	condition-1-en	2	xnli	en	zh	n	n	0.3840	3	0.3271	1	-0.0568
en	condition-1-en	2	xnli	es	en	y	n	0.3547	3	0.3441	1	-0.0106
en	condition-1-en	2	xnli	es	es	n	y	0.3766	3	0.3607	1	-0.0160
en	condition-1-en	2	xnli	es	ur	n	n	0.3191	3	0.3140	1	-0.0051
en	condition-1-en	2	xnli	es	zh	n	n	0.3463	3	0.2715	1	-0.0749
en	condition-1-en	2	xnli	ur	en	y	n	0.3330	3	0.3325	1	-0.0005
en	condition-1-en	2	xnli	ur	es	n	n	0.3744	3	0.3697	1	-0.0047
en	condition-1-en	2	xnli	ur	ur	n	y	0.3246	3	0.3248	1	+0.0001
en	condition-1-en	2	xnli	ur	zh	n	n	0.2758	3	0.2629	1	-0.0130
en	condition-1-en	2	xnli	zh	en	y	n	0.4415	3	0.4042	1	-0.0373
en	condition-1-en	2	xnli	zh	es	n	n	0.3677	3	0.3870	1	+0.0193
en	condition-1-en	2	xnli	zh	ur	n	n	0.3365	3	0.3363	1	-0.0001
en	condition-1-en	2	xnli	zh	zh	n	y	0.2910	3	0.2868	1	-0.0041
es	condition-2-es	1	belebele	en	en	n	y	0.7826	3	0.7878	1	+0.0052
es	condition-2-es	1	belebele	en	es	y	n	0.7704	3	0.7744	1	+0.0041
es	condition-2-es	1	belebele	es	en	n	n	0.7074	3	0.7022	1	-0.0052
es	condition-2-es	1	belebele	es	es	y	y	0.6744	3	0.6678	1	-0.0067
es	condition-2-es	1	belebele	ur	en	n	n	0.6111	3	0.6089	1	-0.0022
es	condition-2-es	1	belebele	ur	es	y	n	0.5596	3	0.5444	1	-0.0152
es	condition-2-es	1	belebele	zh	en	n	n	0.7593	3	0.7556	1	-0.0037
es	condition-2-es	1	belebele	zh	es	y	n	0.7222	3	0.7156	1	-0.0067
es	condition-2-es	1	csqa	en	en	n	y	0.6063	3	0.6010	1	-0.0053
es	condition-2-es	1	csqa	en	es	y	n	0.6040	3	0.6100	1	+0.0060
es	condition-2-es	1	csqa	es	en	n	n	0.5330	3	0.5360	1	+0.0030
es	condition-2-es	1	csqa	es	es	y	y	0.5387	3	0.5400	1	+0.0013
es	condition-2-es	1	csqa	ur	en	n	n	0.4133	3	0.4180	1	+0.0047
es	condition-2-es	1	csqa	ur	es	y	n	0.4067	3	0.3950	1	-0.0117
es	condition-2-es	1	csqa	zh	en	n	n	0.5507	3	0.5490	1	-0.0017
es	condition-2-es	1	csqa	zh	es	y	n	0.5077	3	0.5230	1	+0.0153
es	condition-2-es	1	sib200	en	en	n	y	0.7647	3	0.7549	1	-0.0098
es	condition-2-es	1	sib200	en	es	y	n	0.6732	3	0.6814	1	+0.0082
es	condition-2-es	1	sib200	es	en	n	n	0.7631	3	0.7598	1	-0.0033
es	condition-2-es	1	sib200	es	es	y	y	0.6438	3	0.6765	1	+0.0327
es	condition-2-es	1	sib200	ur	en	n	n	0.6993	3	0.7108	1	+0.0114
es	condition-2-es	1	sib200	ur	es	y	n	0.5359	3	0.5686	1	+0.0327
es	condition-2-es	1	sib200	zh	en	n	n	0.7680	3	0.7647	1	-0.0033
es	condition-2-es	1	sib200	zh	es	y	n	0.6389	3	0.6520	1	+0.0131
es	condition-2-es	1	xnli	en	en	n	y	0.5261	3	0.4986	1	-0.0275
es	condition-2-es	1	xnli	en	es	y	n	0.4833	3	0.4194	1	-0.0639
es	condition-2-es	1	xnli	es	en	n	n	0.4817	3	0.4631	1	-0.0186
es	condition-2-es	1	xnli	es	es	y	y	0.4607	3	0.4042	1	-0.0566
es	condition-2-es	1	xnli	ur	en	n	n	0.4454	3	0.4381	1	-0.0073
es	condition-2-es	1	xnli	ur	es	y	n	0.4398	3	0.4277	1	-0.0120
es	condition-2-es	1	xnli	zh	en	n	n	0.4263	3	0.3852	1	-0.0411
es	condition-2-es	1	xnli	zh	es	y	n	0.3538	3	0.3371	1	-0.0166
es	condition-2-es	2	belebele	en	en	n	y	0.7870	3	0.7867	1	-0.0004
es	condition-2-es	2	belebele	en	es	y	n	0.7919	3	0.7944	1	+0.0026
es	condition-2-es	2	belebele	es	en	n	n	0.7174	3	0.7222	1	+0.0048
es	condition-2-es	2	belebele	es	es	y	y	0.7093	3	0.6978	1	-0.0115
es	condition-2-es	2	belebele	ur	en	n	n	0.6259	3	0.6178	1	-0.0081
es	condition-2-es	2	belebele	ur	es	y	n	0.5922	3	0.5878	1	-0.0044
es	condition-2-es	2	belebele	zh	en	n	n	0.7648	3	0.7667	1	+0.0019
es	condition-2-es	2	belebele	zh	es	y	n	0.7467	3	0.7433	1	-0.0033
es	condition-2-es	2	csqa	en	en	n	y	0.6063	3	0.6020	1	-0.0043
es	condition-2-es	2	csqa	en	es	y	n	0.6220	3	0.6300	1	+0.0080
es	condition-2-es	2	csqa	es	en	n	n	0.5287	3	0.5240	1	-0.0047
es	condition-2-es	2	csqa	es	es	y	y	0.5430	3	0.5520	1	+0.0090
es	condition-2-es	2	csqa	ur	en	n	n	0.4200	3	0.4250	1	+0.0050
es	condition-2-es	2	csqa	ur	es	y	n	0.4027	3	0.4100	1	+0.0073
es	condition-2-es	2	csqa	zh	en	n	n	0.5413	3	0.5350	1	-0.0063
es	condition-2-es	2	csqa	zh	es	y	n	0.5093	3	0.5200	1	+0.0107
es	condition-2-es	2	sib200	en	en	n	y	0.6961	3	0.6912	1	-0.0049
es	condition-2-es	2	sib200	en	es	y	n	0.4886	3	0.5049	1	+0.0163
es	condition-2-es	2	sib200	es	en	n	n	0.6503	3	0.6520	1	+0.0016
es	condition-2-es	2	sib200	es	es	y	y	0.4788	3	0.5000	1	+0.0212
es	condition-2-es	2	sib200	ur	en	n	n	0.6601	3	0.6471	1	-0.0131
es	condition-2-es	2	sib200	ur	es	y	n	0.4477	3	0.4314	1	-0.0163
es	condition-2-es	2	sib200	zh	en	n	n	0.6536	3	0.6373	1	-0.0163
es	condition-2-es	2	sib200	zh	es	y	n	0.5033	3	0.5245	1	+0.0212
es	condition-2-es	2	xnli	en	en	n	y	0.3601	3	0.4084	1	+0.0483
es	condition-2-es	2	xnli	en	es	y	n	0.3947	3	0.4509	1	+0.0562
es	condition-2-es	2	xnli	es	en	n	n	0.3546	3	0.3794	1	+0.0249
es	condition-2-es	2	xnli	es	es	y	y	0.3858	3	0.3988	1	+0.0130
es	condition-2-es	2	xnli	ur	en	n	n	0.3340	3	0.3325	1	-0.0015
es	condition-2-es	2	xnli	ur	es	y	n	0.4003	3	0.3950	1	-0.0053
es	condition-2-es	2	xnli	zh	en	n	n	0.4148	3	0.4838	1	+0.0690
es	condition-2-es	2	xnli	zh	es	y	n	0.3610	3	0.3737	1	+0.0126
ur	condition-2-ur	1	belebele	en	en	n	y	0.7907	3	0.7922	1	+0.0015
ur	condition-2-ur	1	belebele	en	ur	y	n	0.8019	3	0.7856	1	-0.0163
ur	condition-2-ur	1	belebele	es	en	n	n	0.7241	3	0.7144	1	-0.0096
ur	condition-2-ur	1	belebele	es	ur	y	n	0.7170	3	0.6889	1	-0.0281
ur	condition-2-ur	1	belebele	ur	en	n	n	0.6289	3	0.6000	1	-0.0289
ur	condition-2-ur	1	belebele	ur	ur	y	y	0.5633	3	0.5000	1	-0.0633
ur	condition-2-ur	1	belebele	zh	en	n	n	0.7741	3	0.7678	1	-0.0063
ur	condition-2-ur	1	belebele	zh	ur	y	n	0.7600	3	0.7500	1	-0.0100
ur	condition-2-ur	1	csqa	en	en	n	y	0.6103	3	0.6170	1	+0.0067
ur	condition-2-ur	1	csqa	en	ur	y	n	0.5977	3	0.6100	1	+0.0123
ur	condition-2-ur	1	csqa	es	en	n	n	0.5393	3	0.5430	1	+0.0037
ur	condition-2-ur	1	csqa	es	ur	y	n	0.4890	3	0.4990	1	+0.0100
ur	condition-2-ur	1	csqa	ur	en	n	n	0.4030	3	0.3740	1	-0.0290
ur	condition-2-ur	1	csqa	ur	ur	y	y	0.3663	3	0.3410	1	-0.0253
ur	condition-2-ur	1	csqa	zh	en	n	n	0.5607	3	0.5490	1	-0.0117
ur	condition-2-ur	1	csqa	zh	ur	y	n	0.4883	3	0.4970	1	+0.0087
ur	condition-2-ur	1	sib200	en	en	n	y	0.7729	3	0.7647	1	-0.0082
ur	condition-2-ur	1	sib200	en	ur	y	n	0.5719	3	0.3725	1	-0.1993
ur	condition-2-ur	1	sib200	es	en	n	n	0.7190	3	0.7304	1	+0.0114
ur	condition-2-ur	1	sib200	es	ur	y	n	0.5392	3	0.3137	1	-0.2255
ur	condition-2-ur	1	sib200	ur	en	n	n	0.6765	3	0.6569	1	-0.0196
ur	condition-2-ur	1	sib200	ur	ur	y	y	0.4232	3	0.2598	1	-0.1634
ur	condition-2-ur	1	sib200	zh	en	n	n	0.7353	3	0.7304	1	-0.0049
ur	condition-2-ur	1	sib200	zh	ur	y	n	0.6781	3	0.3971	1	-0.2810
ur	condition-2-ur	1	xnli	en	en	n	y	0.5279	3	0.5379	1	+0.0100
ur	condition-2-ur	1	xnli	en	ur	y	n	0.3551	3	0.4595	1	+0.1044
ur	condition-2-ur	1	xnli	es	en	n	n	0.4737	3	0.5002	1	+0.0265
ur	condition-2-ur	1	xnli	es	ur	y	n	0.3452	3	0.3673	1	+0.0221
ur	condition-2-ur	1	xnli	ur	en	n	n	0.4220	3	0.4439	1	+0.0220
ur	condition-2-ur	1	xnli	ur	ur	y	y	0.3365	3	0.3337	1	-0.0028
ur	condition-2-ur	1	xnli	zh	en	n	n	0.4318	3	0.4413	1	+0.0095
ur	condition-2-ur	1	xnli	zh	ur	y	n	0.3343	3	0.3403	1	+0.0060
ur	condition-2-ur	2	belebele	en	en	n	y	0.7952	3	0.7944	1	-0.0007
