condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
condition-1-en-20k	42	2	xnli	ur	zh	None	0.2495	0.2629	+0.0134	0.2369	0.2002	-0.0367
condition-1-en-20k	42	2	xnli	zh	en	None	0.4042	0.4042	+0.0000	0.0022	0.0022	+0.0000
condition-1-en-20k	42	2	xnli	zh	es	None	0.3870	0.3870	+0.0000	0.0060	0.0060	+0.0000
condition-1-en-20k	42	2	xnli	zh	ur	None	0.3343	0.3363	+0.0020	0.0156	0.0106	-0.0050
condition-1-en-20k	42	2	xnli	zh	zh	None	0.0673	0.2868	+0.2196	0.8297	0.3267	-0.5030
condition-1-en-5k	123	1	belebele	en	en	None	0.7778	0.7778	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	en	es	None	0.7622	0.7622	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	en	ur	None	0.7489	0.7489	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	en	zh	None	0.7889	0.7889	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	es	en	None	0.7000	0.7000	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	es	es	None	0.6733	0.6733	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	es	ur	None	0.6467	0.6467	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	es	zh	None	0.6933	0.6933	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	ur	en	None	0.6089	0.6089	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	ur	es	None	0.5278	0.5278	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	ur	ur	None	0.5289	0.5289	+0.0000	0.0056	0.0056	+0.0000
condition-1-en-5k	123	1	belebele	ur	zh	None	0.6011	0.6011	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	zh	en	None	0.7600	0.7600	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	zh	es	None	0.7011	0.7011	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	zh	ur	None	0.7156	0.7156	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	belebele	zh	zh	None	0.7756	0.7756	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	en	en	None	0.6110	0.6110	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	en	es	None	0.6070	0.6070	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-5k	123	1	csqa	en	ur	None	0.5920	0.5920	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	en	zh	None	0.6400	0.6400	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	es	en	None	0.5290	0.5290	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	es	es	None	0.5300	0.5300	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-5k	123	1	csqa	es	ur	None	0.4790	0.4790	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	es	zh	None	0.5440	0.5440	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	ur	en	None	0.4270	0.4270	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	ur	es	None	0.3930	0.3930	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	ur	ur	None	0.3990	0.3990	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	ur	zh	None	0.3890	0.3890	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	zh	en	None	0.5500	0.5500	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	zh	es	None	0.5030	0.5030	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	zh	ur	None	0.4790	0.4790	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	csqa	zh	zh	None	0.5270	0.5270	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	sib200	en	en	None	0.7500	0.7500	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	sib200	en	es	None	0.6618	0.6618	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	sib200	en	ur	None	0.3431	0.4902	+0.1471	0.3873	0.0931	-0.2941
condition-1-en-5k	123	1	sib200	en	zh	None	0.7108	0.7108	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	sib200	es	en	None	0.7794	0.7549	-0.0245	0.0000	0.0294	+0.0294
condition-1-en-5k	123	1	sib200	es	es	None	0.6422	0.6471	+0.0049	0.0147	0.0000	-0.0147
condition-1-en-5k	123	1	sib200	es	ur	None	0.2353	0.4951	+0.2598	0.6078	0.1176	-0.4902
condition-1-en-5k	123	1	sib200	es	zh	None	0.6078	0.6373	+0.0294	0.0539	0.0245	-0.0294
condition-1-en-5k	123	1	sib200	ur	en	None	0.7059	0.6912	-0.0147	0.0000	0.0147	+0.0147
condition-1-en-5k	123	1	sib200	ur	es	None	0.5000	0.5245	+0.0245	0.0343	0.0245	-0.0098
condition-1-en-5k	123	1	sib200	ur	ur	None	0.2402	0.5637	+0.3235	0.4314	0.0245	-0.4069
condition-1-en-5k	123	1	sib200	ur	zh	None	0.5539	0.5539	+0.0000	0.0000	0.0147	+0.0147
condition-1-en-5k	123	1	sib200	zh	en	None	0.7696	0.7451	-0.0245	0.0049	0.0294	+0.0245
condition-1-en-5k	123	1	sib200	zh	es	None	0.5490	0.5882	+0.0392	0.0539	0.0000	-0.0539
condition-1-en-5k	123	1	sib200	zh	ur	None	0.2304	0.5196	+0.2892	0.5490	0.1127	-0.4363
condition-1-en-5k	123	1	sib200	zh	zh	None	0.6029	0.6716	+0.0686	0.1127	0.0098	-0.1029
condition-1-en-5k	123	1	xnli	en	en	None	0.5218	0.5218	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	1	xnli	en	es	None	0.4122	0.4122	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	1	xnli	en	ur	None	0.4353	0.4353	+0.0000	0.0006	0.0004	-0.0002
condition-1-en-5k	123	1	xnli	en	zh	None	0.3335	0.3335	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	es	en	None	0.4689	0.4689	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	es	es	None	0.4581	0.4581	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	1	xnli	es	ur	None	0.3553	0.3553	+0.0000	0.0006	0.0006	+0.0000
condition-1-en-5k	123	1	xnli	es	zh	None	0.3337	0.3337	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	ur	en	None	0.4375	0.4375	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	ur	es	None	0.3846	0.3846	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	1	xnli	ur	ur	None	0.3343	0.3343	+0.0000	0.0024	0.0024	+0.0000
condition-1-en-5k	123	1	xnli	ur	zh	None	0.3333	0.3333	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	1	xnli	zh	en	None	0.4040	0.4040	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	zh	es	None	0.3333	0.3333	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	zh	ur	None	0.3377	0.3377	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	1	xnli	zh	zh	None	0.3321	0.3321	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	123	2	belebele	en	en	None	0.7867	0.7867	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	en	es	None	0.7856	0.7856	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	en	ur	None	0.7600	0.7600	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	en	zh	None	0.8033	0.8033	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	es	en	None	0.7100	0.7100	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	es	es	None	0.6956	0.6956	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	es	ur	None	0.6500	0.6500	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	es	zh	None	0.7178	0.7178	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	ur	en	None	0.6233	0.6233	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	ur	es	None	0.5556	0.5556	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	ur	ur	None	0.5244	0.5244	+0.0000	0.0033	0.0033	+0.0000
condition-1-en-5k	123	2	belebele	ur	zh	None	0.6000	0.6000	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	zh	en	None	0.7656	0.7656	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	zh	es	None	0.7344	0.7344	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	zh	ur	None	0.7089	0.7089	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	belebele	zh	zh	None	0.7622	0.7622	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	en	en	None	0.6090	0.6090	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	en	es	None	0.6180	0.6180	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	en	ur	None	0.5870	0.5870	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	en	zh	None	0.6280	0.6280	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	es	en	None	0.5190	0.5190	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	es	es	None	0.5310	0.5310	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	es	ur	None	0.4800	0.4800	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	es	zh	None	0.5280	0.5280	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	ur	en	None	0.4210	0.4210	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	ur	es	None	0.3960	0.3960	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	ur	ur	None	0.3920	0.3920	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	ur	zh	None	0.3990	0.3990	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	zh	en	None	0.5300	0.5300	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	zh	es	None	0.5040	0.5040	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	zh	ur	None	0.4620	0.4620	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	csqa	zh	zh	None	0.5320	0.5320	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	sib200	en	en	None	0.7108	0.7108	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	sib200	en	es	None	0.5049	0.5245	+0.0196	0.0245	0.0000	-0.0245
condition-1-en-5k	123	2	sib200	en	ur	None	0.2647	0.4167	+0.1520	0.4167	0.2451	-0.1716
condition-1-en-5k	123	2	sib200	en	zh	None	0.6324	0.6471	+0.0147	0.0245	0.0098	-0.0147
condition-1-en-5k	123	2	sib200	es	en	None	0.6569	0.6569	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	sib200	es	es	None	0.3725	0.5000	+0.1275	0.1520	0.0000	-0.1520
condition-1-en-5k	123	2	sib200	es	ur	None	0.0637	0.3529	+0.2892	0.7108	0.3480	-0.3627
condition-1-en-5k	123	2	sib200	es	zh	None	0.4902	0.5784	+0.0882	0.1176	0.0147	-0.1029
condition-1-en-5k	123	2	sib200	ur	en	None	0.6765	0.6716	-0.0049	0.0000	0.0049	+0.0049
condition-1-en-5k	123	2	sib200	ur	es	None	0.3922	0.5637	+0.1716	0.2402	0.0196	-0.2206
condition-1-en-5k	123	2	sib200	ur	ur	None	0.2206	0.5441	+0.3235	0.5441	0.1127	-0.4314
condition-1-en-5k	123	2	sib200	ur	zh	None	0.5343	0.5343	+0.0000	0.0000	0.0098	+0.0098
condition-1-en-5k	123	2	sib200	zh	en	None	0.6667	0.6667	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	123	2	sib200	zh	es	None	0.3824	0.5441	+0.1618	0.2108	0.0098	-0.2010
condition-1-en-5k	123	2	sib200	zh	ur	None	0.1029	0.4853	+0.3824	0.7843	0.2108	-0.5735
condition-1-en-5k	123	2	sib200	zh	zh	None	0.5245	0.6275	+0.1029	0.1520	0.0343	-0.1176
condition-1-en-5k	123	2	xnli	en	en	None	0.3617	0.3617	+0.0000	0.0008	0.0008	+0.0000
condition-1-en-5k	123	2	xnli	en	es	None	0.3916	0.3916	+0.0000	0.0016	0.0016	+0.0000
condition-1-en-5k	123	2	xnli	en	ur	None	0.2088	0.2421	+0.0333	0.4840	0.3840	-0.1000
condition-1-en-5k	123	2	xnli	en	zh	None	0.2541	0.3715	+0.1174	0.2735	0.0623	-0.2112
condition-1-en-5k	123	2	xnli	es	en	None	0.3607	0.3607	+0.0000	0.0062	0.0062	+0.0000
condition-1-en-5k	123	2	xnli	es	es	None	0.3796	0.3796	+0.0000	0.0026	0.0026	+0.0000
condition-1-en-5k	123	2	xnli	es	ur	None	0.3048	0.3124	+0.0076	0.1904	0.1659	-0.0246
condition-1-en-5k	123	2	xnli	es	zh	None	0.1571	0.3557	+0.1986	0.5725	0.1715	-0.4010
condition-1-en-5k	123	2	xnli	ur	en	None	0.3339	0.3339	+0.0000	0.0126	0.0126	+0.0000
condition-1-en-5k	123	2	xnli	ur	es	None	0.3798	0.3798	+0.0000	0.0379	0.0379	+0.0000
condition-1-en-5k	123	2	xnli	ur	ur	None	0.2886	0.3230	+0.0343	0.1593	0.0589	-0.1004
condition-1-en-5k	123	2	xnli	ur	zh	None	0.2808	0.2864	+0.0056	0.1449	0.1202	-0.0248
condition-1-en-5k	123	2	xnli	zh	en	None	0.4593	0.4593	+0.0000	0.0040	0.0040	+0.0000
condition-1-en-5k	123	2	xnli	zh	es	None	0.3587	0.3587	+0.0000	0.0074	0.0074	+0.0000
condition-1-en-5k	123	2	xnli	zh	ur	None	0.3343	0.3363	+0.0020	0.0130	0.0078	-0.0052
condition-1-en-5k	123	2	xnli	zh	zh	None	0.0776	0.2942	+0.2166	0.8000	0.2922	-0.5078
condition-1-en-5k	42	1	belebele	en	en	None	0.7800	0.7800	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	en	es	None	0.7589	0.7589	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	en	ur	None	0.7567	0.7567	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	en	zh	None	0.7889	0.7889	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	es	en	None	0.7033	0.7033	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	es	es	None	0.6733	0.6733	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	es	ur	None	0.6444	0.6444	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	es	zh	None	0.6922	0.6922	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	ur	en	None	0.6167	0.6167	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	ur	es	None	0.5456	0.5456	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	ur	ur	None	0.5422	0.5422	+0.0000	0.0011	0.0011	+0.0000
condition-1-en-5k	42	1	belebele	ur	zh	None	0.5978	0.5978	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	zh	en	None	0.7656	0.7656	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	zh	es	None	0.7056	0.7056	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	zh	ur	None	0.7144	0.7144	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	belebele	zh	zh	None	0.7733	0.7733	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	en	en	None	0.6130	0.6130	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	en	es	None	0.6090	0.6090	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-5k	42	1	csqa	en	ur	None	0.5920	0.5920	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	en	zh	None	0.6460	0.6460	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	es	en	None	0.5390	0.5390	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	es	es	None	0.5440	0.5440	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-5k	42	1	csqa	es	ur	None	0.4840	0.4840	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	es	zh	None	0.5480	0.5480	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	ur	en	None	0.4240	0.4240	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	ur	es	None	0.3980	0.3980	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	ur	ur	None	0.4130	0.4130	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	ur	zh	None	0.3820	0.3820	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	zh	en	None	0.5540	0.5540	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	zh	es	None	0.5090	0.5090	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	zh	ur	None	0.4800	0.4800	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	csqa	zh	zh	None	0.5260	0.5260	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	sib200	en	en	None	0.7500	0.7500	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	sib200	en	es	None	0.6373	0.6373	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	sib200	en	ur	None	0.3284	0.4755	+0.1471	0.3775	0.0882	-0.2892
condition-1-en-5k	42	1	sib200	en	zh	None	0.6961	0.6961	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	sib200	es	en	None	0.7745	0.7647	-0.0098	0.0000	0.0098	+0.0098
condition-1-en-5k	42	1	sib200	es	es	None	0.6275	0.6324	+0.0049	0.0147	0.0000	-0.0147
condition-1-en-5k	42	1	sib200	es	ur	None	0.2402	0.5049	+0.2647	0.5931	0.1029	-0.4902
condition-1-en-5k	42	1	sib200	es	zh	None	0.5980	0.6275	+0.0294	0.0588	0.0196	-0.0392
condition-1-en-5k	42	1	sib200	ur	en	None	0.6912	0.6765	-0.0147	0.0000	0.0147	+0.0147
condition-1-en-5k	42	1	sib200	ur	es	None	0.4804	0.5147	+0.0343	0.0392	0.0245	-0.0147
condition-1-en-5k	42	1	sib200	ur	ur	None	0.2451	0.5539	+0.3088	0.3873	0.0196	-0.3676
condition-1-en-5k	42	1	sib200	ur	zh	None	0.5441	0.5441	+0.0000	0.0000	0.0098	+0.0098
condition-1-en-5k	42	1	sib200	zh	en	None	0.7696	0.7500	-0.0196	0.0049	0.0245	+0.0196
condition-1-en-5k	42	1	sib200	zh	es	None	0.5049	0.5588	+0.0539	0.0735	0.0000	-0.0735
condition-1-en-5k	42	1	sib200	zh	ur	None	0.2304	0.5294	+0.2990	0.5539	0.0980	-0.4559
condition-1-en-5k	42	1	sib200	zh	zh	None	0.5882	0.6618	+0.0735	0.1127	0.0000	-0.1127
condition-1-en-5k	42	1	xnli	en	en	None	0.5206	0.5206	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	42	1	xnli	en	es	None	0.4200	0.4200	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	42	1	xnli	en	ur	None	0.4206	0.4206	+0.0000	0.0006	0.0004	-0.0002
condition-1-en-5k	42	1	xnli	en	zh	None	0.3343	0.3343	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	es	en	None	0.4657	0.4657	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	es	es	None	0.4637	0.4637	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	42	1	xnli	es	ur	None	0.3489	0.3489	+0.0000	0.0006	0.0006	+0.0000
condition-1-en-5k	42	1	xnli	es	zh	None	0.3341	0.3341	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	ur	en	None	0.4347	0.4347	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	ur	es	None	0.3828	0.3828	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	42	1	xnli	ur	ur	None	0.3339	0.3339	+0.0000	0.0024	0.0024	+0.0000
condition-1-en-5k	42	1	xnli	ur	zh	None	0.3329	0.3329	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-5k	42	1	xnli	zh	en	None	0.3984	0.3984	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	zh	es	None	0.3333	0.3333	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	zh	ur	None	0.3369	0.3369	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	1	xnli	zh	zh	None	0.3331	0.3331	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	en	en	None	0.7889	0.7889	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	en	es	None	0.7822	0.7822	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	en	ur	None	0.7622	0.7622	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	en	zh	None	0.8044	0.8044	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	es	en	None	0.7122	0.7122	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	es	es	None	0.6978	0.6978	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	es	ur	None	0.6478	0.6478	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	es	zh	None	0.7178	0.7178	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	ur	en	None	0.6211	0.6211	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	ur	es	None	0.5656	0.5656	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	ur	ur	None	0.5289	0.5289	+0.0000	0.0011	0.0011	+0.0000
condition-1-en-5k	42	2	belebele	ur	zh	None	0.6067	0.6067	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	zh	en	None	0.7644	0.7644	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	zh	es	None	0.7367	0.7367	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	zh	ur	None	0.7089	0.7089	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	belebele	zh	zh	None	0.7556	0.7556	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	en	en	None	0.6160	0.6160	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	en	es	None	0.6180	0.6180	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	en	ur	None	0.5850	0.5850	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	en	zh	None	0.6360	0.6360	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	es	en	None	0.5310	0.5310	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	es	es	None	0.5350	0.5350	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	es	ur	None	0.4860	0.4860	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	es	zh	None	0.5350	0.5350	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	ur	en	None	0.4210	0.4210	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	ur	es	None	0.3910	0.3910	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	ur	ur	None	0.3890	0.3890	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	ur	zh	None	0.4030	0.4030	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	zh	en	None	0.5310	0.5310	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	zh	es	None	0.5050	0.5050	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	zh	ur	None	0.4690	0.4690	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	csqa	zh	zh	None	0.5340	0.5340	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	sib200	en	en	None	0.7010	0.7010	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	sib200	en	es	None	0.4755	0.4951	+0.0196	0.0294	0.0000	-0.0294
condition-1-en-5k	42	2	sib200	en	ur	None	0.2598	0.4363	+0.1765	0.4461	0.2304	-0.2157
condition-1-en-5k	42	2	sib200	en	zh	None	0.6275	0.6520	+0.0245	0.0392	0.0049	-0.0343
condition-1-en-5k	42	2	sib200	es	en	None	0.6520	0.6520	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	sib200	es	es	None	0.3627	0.4951	+0.1324	0.1520	0.0000	-0.1520
condition-1-en-5k	42	2	sib200	es	ur	None	0.0980	0.3873	+0.2892	0.7108	0.3088	-0.4020
condition-1-en-5k	42	2	sib200	es	zh	None	0.4951	0.5735	+0.0784	0.1324	0.0147	-0.1176
condition-1-en-5k	42	2	sib200	ur	en	None	0.6569	0.6569	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	sib200	ur	es	None	0.3725	0.5392	+0.1667	0.2157	0.0098	-0.2059
condition-1-en-5k	42	2	sib200	ur	ur	None	0.2157	0.5392	+0.3235	0.5490	0.1127	-0.4363
condition-1-en-5k	42	2	sib200	ur	zh	None	0.5196	0.5196	+0.0000	0.0000	0.0049	+0.0049
condition-1-en-5k	42	2	sib200	zh	en	None	0.6667	0.6667	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-5k	42	2	sib200	zh	es	None	0.3775	0.5294	+0.1520	0.2010	0.0098	-0.1912
condition-1-en-5k	42	2	sib200	zh	ur	None	0.1275	0.4951	+0.3676	0.7696	0.2059	-0.5637
