condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-20k	es	42	2	sib200	es	en	n	n	0.6765	0.6585	0.6520	-0.0245	-0.0180	-0.0065
condition-2-es-20k	es	42	2	sib200	es	es	y	y	0.5147	0.5000	0.5000	-0.0147	-0.0147	+0.0000
condition-2-es-20k	es	42	2	sib200	ur	en	n	n	0.6814	0.6667	0.6471	-0.0343	-0.0147	-0.0196
condition-2-es-20k	es	42	2	sib200	ur	es	n	y	0.6127	0.5637	0.4314	-0.1814	-0.0490	-0.1324
condition-2-es-20k	es	42	2	sib200	zh	en	n	n	0.6961	0.6716	0.6373	-0.0588	-0.0245	-0.0343
condition-2-es-20k	es	42	2	sib200	zh	es	n	y	0.5588	0.5376	0.5245	-0.0343	-0.0212	-0.0131
condition-2-es-20k	es	42	2	xnli	en	en	y	n	0.3786	0.3565	0.4084	+0.0297	-0.0222	+0.0519
condition-2-es-20k	es	42	2	xnli	en	es	n	y	0.3806	0.3904	0.4509	+0.0703	+0.0097	+0.0605
condition-2-es-20k	es	42	2	xnli	es	en	n	n	0.3661	0.3547	0.3794	+0.0134	-0.0114	+0.0248
condition-2-es-20k	es	42	2	xnli	es	es	y	y	0.3770	0.3766	0.3988	+0.0218	-0.0004	+0.0222
condition-2-es-20k	es	42	2	xnli	ur	en	n	n	0.3357	0.3330	0.3325	-0.0032	-0.0027	-0.0005
condition-2-es-20k	es	42	2	xnli	ur	es	n	y	0.2499	0.3744	0.3950	+0.1451	+0.1245	+0.0206
condition-2-es-20k	es	42	2	xnli	zh	en	n	n	0.4649	0.4415	0.4838	+0.0190	-0.0234	+0.0424
condition-2-es-20k	es	42	2	xnli	zh	es	n	y	0.3637	0.3677	0.3737	+0.0100	+0.0041	+0.0059
condition-2-es-5k	es	123	1	belebele	en	en	y	n	0.7678	0.7781	0.7800	+0.0122	+0.0104	+0.0019
condition-2-es-5k	es	123	1	belebele	en	es	n	y	0.7611	0.7604	0.7656	+0.0044	-0.0007	+0.0052
condition-2-es-5k	es	123	1	belebele	es	en	n	n	0.6911	0.7000	0.7056	+0.0144	+0.0089	+0.0056
condition-2-es-5k	es	123	1	belebele	es	es	y	y	0.6722	0.6719	0.6744	+0.0022	-0.0004	+0.0026
condition-2-es-5k	es	123	1	belebele	ur	en	n	n	0.6044	0.6130	0.6089	+0.0044	+0.0085	-0.0041
condition-2-es-5k	es	123	1	belebele	ur	es	n	y	0.5389	0.5356	0.5633	+0.0244	-0.0033	+0.0278
