condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	456	1	xnli	en	es	n	y	0.3980	0.4161	0.4569	+0.0589	+0.0181	+0.0408
condition-2-es-5k	es	456	1	xnli	es	en	n	n	0.4525	0.4687	0.4762	+0.0238	+0.0162	+0.0075
condition-2-es-5k	es	456	1	xnli	es	es	y	y	0.4547	0.4623	0.4339	-0.0208	+0.0077	-0.0284
condition-2-es-5k	es	456	1	xnli	ur	en	n	n	0.4343	0.4375	0.4455	+0.0112	+0.0032	+0.0080
condition-2-es-5k	es	456	1	xnli	ur	es	n	y	0.3727	0.3844	0.4357	+0.0631	+0.0117	+0.0514
condition-2-es-5k	es	456	1	xnli	zh	en	n	n	0.3906	0.4034	0.4210	+0.0303	+0.0128	+0.0176
condition-2-es-5k	es	456	1	xnli	zh	es	n	y	0.3333	0.3333	0.3435	+0.0102	+0.0000	+0.0102
condition-2-es-5k	es	456	2	belebele	en	en	y	n	0.7822	0.7870	0.7900	+0.0078	+0.0048	+0.0030
condition-2-es-5k	es	456	2	belebele	en	es	n	y	0.7756	0.7830	0.7956	+0.0200	+0.0074	+0.0126
condition-2-es-5k	es	456	2	belebele	es	en	n	n	0.7011	0.7096	0.7222	+0.0211	+0.0085	+0.0126
condition-2-es-5k	es	456	2	belebele	es	es	y	y	0.6989	0.6952	0.7033	+0.0044	-0.0037	+0.0081
condition-2-es-5k	es	456	2	belebele	ur	en	n	n	0.6144	0.6200	0.6211	+0.0067	+0.0056	+0.0011
condition-2-es-5k	es	456	2	belebele	ur	es	n	y	0.5544	0.5622	0.5922	+0.0378	+0.0078	+0.0300
condition-2-es-5k	es	456	2	belebele	zh	en	n	n	0.7589	0.7637	0.7678	+0.0089	+0.0048	+0.0041
condition-2-es-5k	es	456	2	belebele	zh	es	n	y	0.7367	0.7352	0.7456	+0.0089	-0.0015	+0.0104
condition-2-es-5k	es	456	2	csqa	en	en	y	n	0.6070	0.6113	0.6100	+0.0030	+0.0043	-0.0013
condition-2-es-5k	es	456	2	csqa	en	es	n	y	0.6230	0.6187	0.6210	-0.0020	-0.0043	+0.0023
condition-2-es-5k	es	456	2	csqa	es	en	n	n	0.5170	0.5260	0.5320	+0.0150	+0.0090	+0.0060
condition-2-es-5k	es	456	2	csqa	es	es	y	y	0.5320	0.5340	0.5440	+0.0120	+0.0020	+0.0100
condition-2-es-5k	es	456	2	csqa	ur	en	n	n	0.4170	0.4197	0.4200	+0.0030	+0.0027	+0.0003
condition-2-es-5k	es	456	2	csqa	ur	es	n	y	0.3930	0.3940	0.4050	+0.0120	+0.0010	+0.0110
condition-2-es-5k	es	456	2	csqa	zh	en	n	n	0.5320	0.5323	0.5450	+0.0130	+0.0003	+0.0127
condition-2-es-5k	es	456	2	csqa	zh	es	n	y	0.5100	0.5043	0.5140	+0.0040	-0.0057	+0.0097
condition-2-es-5k	es	456	2	sib200	en	en	y	n	0.7206	0.7092	0.6912	-0.0294	-0.0114	-0.0180
condition-2-es-5k	es	456	2	sib200	en	es	n	y	0.5539	0.5131	0.4902	-0.0637	-0.0408	-0.0229
condition-2-es-5k	es	456	2	sib200	es	en	n	n	0.6765	0.6585	0.6520	-0.0245	-0.0180	-0.0065
condition-2-es-5k	es	456	2	sib200	es	es	y	y	0.5147	0.5000	0.4902	-0.0245	-0.0147	-0.0098
condition-2-es-5k	es	456	2	sib200	ur	en	n	n	0.6814	0.6667	0.6667	-0.0147	-0.0147	+0.0000
condition-2-es-5k	es	456	2	sib200	ur	es	n	y	0.6127	0.5637	0.4755	-0.1373	-0.0490	-0.0882
condition-2-es-5k	es	456	2	sib200	zh	en	n	n	0.6961	0.6716	0.6569	-0.0392	-0.0245	-0.0147
condition-2-es-5k	es	456	2	sib200	zh	es	n	y	0.5588	0.5376	0.5098	-0.0490	-0.0212	-0.0278
condition-2-es-5k	es	456	2	xnli	en	en	y	n	0.3786	0.3565	0.3659	-0.0128	-0.0222	+0.0094
condition-2-es-5k	es	456	2	xnli	en	es	n	y	0.3806	0.3904	0.3890	+0.0084	+0.0097	-0.0013
condition-2-es-5k	es	456	2	xnli	es	en	n	n	0.3661	0.3547	0.3599	-0.0062	-0.0114	+0.0052
condition-2-es-5k	es	456	2	xnli	es	es	y	y	0.3770	0.3766	0.3764	-0.0006	-0.0004	-0.0002
condition-2-es-5k	es	456	2	xnli	ur	en	n	n	0.3357	0.3330	0.3345	-0.0012	-0.0027	+0.0015
condition-2-es-5k	es	456	2	xnli	ur	es	n	y	0.2499	0.3744	0.4012	+0.1513	+0.1245	+0.0268
condition-2-es-5k	es	456	2	xnli	zh	en	n	n	0.4649	0.4415	0.4130	-0.0519	-0.0234	-0.0285
condition-2-es-5k	es	456	2	xnli	zh	es	n	y	0.3637	0.3677	0.3553	-0.0084	+0.0041	-0.0124
condition-2-ur-20k	ur	42	1	belebele	en	en	y	n	0.7678	0.7781	0.7922	+0.0244	+0.0104	+0.0141
condition-2-ur-20k	ur	42	1	belebele	en	ur	n	y	0.7411	0.7548	0.7856	+0.0444	+0.0137	+0.0307
condition-2-ur-20k	ur	42	1	belebele	es	en	n	n	0.6911	0.7000	0.7144	+0.0233	+0.0089	+0.0144
condition-2-ur-20k	ur	42	1	belebele	es	ur	n	y	0.6389	0.6422	0.6889	+0.0500	+0.0033	+0.0467
condition-2-ur-20k	ur	42	1	belebele	ur	en	n	n	0.6044	0.6130	0.6000	-0.0044	+0.0085	-0.0130
condition-2-ur-20k	ur	42	1	belebele	ur	ur	y	y	0.5289	0.5367	0.5000	-0.0289	+0.0078	-0.0367
condition-2-ur-20k	ur	42	1	belebele	zh	en	n	n	0.7500	0.7596	0.7678	+0.0178	+0.0096	+0.0081
condition-2-ur-20k	ur	42	1	belebele	zh	ur	n	y	0.7011	0.7144	0.7500	+0.0489	+0.0133	+0.0356
condition-2-ur-20k	ur	42	1	csqa	en	en	y	n	0.6070	0.6120	0.6170	+0.0100	+0.0050	+0.0050
condition-2-ur-20k	ur	42	1	csqa	en	ur	n	y	0.5850	0.5920	0.6100	+0.0250	+0.0070	+0.0180
condition-2-ur-20k	ur	42	1	csqa	es	en	n	n	0.5240	0.5303	0.5430	+0.0190	+0.0063	+0.0127
condition-2-ur-20k	ur	42	1	csqa	es	ur	n	y	0.4730	0.4823	0.4990	+0.0260	+0.0093	+0.0167
condition-2-ur-20k	ur	42	1	csqa	ur	en	n	n	0.4240	0.4237	0.3740	-0.0500	-0.0003	-0.0497
condition-2-ur-20k	ur	42	1	csqa	ur	ur	y	y	0.4040	0.4090	0.3410	-0.0630	+0.0050	-0.0680
condition-2-ur-20k	ur	42	1	csqa	zh	en	n	n	0.5450	0.5527	0.5490	+0.0040	+0.0077	-0.0037
condition-2-ur-20k	ur	42	1	csqa	zh	ur	n	y	0.4810	0.4820	0.4970	+0.0160	+0.0010	+0.0150
condition-2-ur-20k	ur	42	1	sib200	en	en	y	n	0.7549	0.7533	0.7647	+0.0098	-0.0016	+0.0114
condition-2-ur-20k	ur	42	1	sib200	en	ur	n	y	0.4951	0.4804	0.3725	-0.1225	-0.0147	-0.1078
condition-2-ur-20k	ur	42	1	sib200	es	en	n	n	0.7745	0.7582	0.7304	-0.0441	-0.0163	-0.0278
condition-2-ur-20k	ur	42	1	sib200	es	ur	n	y	0.5343	0.4935	0.3137	-0.2206	-0.0408	-0.1797
condition-2-ur-20k	ur	42	1	sib200	ur	en	n	n	0.7255	0.6895	0.6569	-0.0686	-0.0359	-0.0327
condition-2-ur-20k	ur	42	1	sib200	ur	ur	y	y	0.5735	0.5588	0.2598	-0.3137	-0.0147	-0.2990
condition-2-ur-20k	ur	42	1	sib200	zh	en	n	n	0.7892	0.7500	0.7304	-0.0588	-0.0392	-0.0196
condition-2-ur-20k	ur	42	1	sib200	zh	ur	n	y	0.5294	0.5245	0.3971	-0.1324	-0.0049	-0.1275
condition-2-ur-20k	ur	42	1	xnli	en	en	y	n	0.4998	0.5226	0.5379	+0.0381	+0.0228	+0.0153
condition-2-ur-20k	ur	42	1	xnli	en	ur	n	y	0.3816	0.4253	0.4595	+0.0778	+0.0436	+0.0342
condition-2-ur-20k	ur	42	1	xnli	es	en	n	n	0.4525	0.4687	0.5002	+0.0477	+0.0162	+0.0315
condition-2-ur-20k	ur	42	1	xnli	es	ur	n	y	0.3433	0.3516	0.3673	+0.0240	+0.0083	+0.0157
condition-2-ur-20k	ur	42	1	xnli	ur	en	n	n	0.4343	0.4375	0.4439	+0.0096	+0.0032	+0.0064
condition-2-ur-20k	ur	42	1	xnli	ur	ur	y	y	0.3327	0.3336	0.3337	+0.0010	+0.0009	+0.0001
condition-2-ur-20k	ur	42	1	xnli	zh	en	n	n	0.3906	0.4034	0.4413	+0.0507	+0.0128	+0.0379
condition-2-ur-20k	ur	42	1	xnli	zh	ur	n	y	0.3345	0.3373	0.3403	+0.0058	+0.0027	+0.0031
condition-2-ur-20k	ur	42	2	belebele	en	en	y	n	0.7822	0.7870	0.7944	+0.0122	+0.0048	+0.0074
condition-2-ur-20k	ur	42	2	belebele	en	ur	n	y	0.7489	0.7611	0.7844	+0.0356	+0.0122	+0.0233
condition-2-ur-20k	ur	42	2	belebele	es	en	n	n	0.7011	0.7096	0.7300	+0.0289	+0.0085	+0.0204
condition-2-ur-20k	ur	42	2	belebele	es	ur	n	y	0.6389	0.6456	0.6889	+0.0500	+0.0067	+0.0433
condition-2-ur-20k	ur	42	2	belebele	ur	en	n	n	0.6144	0.6200	0.6056	-0.0089	+0.0056	-0.0144
condition-2-ur-20k	ur	42	2	belebele	ur	ur	y	y	0.5233	0.5256	0.4844	-0.0389	+0.0022	-0.0411
condition-2-ur-20k	ur	42	2	belebele	zh	en	n	n	0.7589	0.7637	0.7744	+0.0156	+0.0048	+0.0107
condition-2-ur-20k	ur	42	2	belebele	zh	ur	n	y	0.7000	0.7093	0.7467	+0.0467	+0.0093	+0.0374
condition-2-ur-20k	ur	42	2	csqa	en	en	y	n	0.6070	0.6113	0.6080	+0.0010	+0.0043	-0.0033
condition-2-ur-20k	ur	42	2	csqa	en	ur	n	y	0.5790	0.5860	0.6120	+0.0330	+0.0070	+0.0260
condition-2-ur-20k	ur	42	2	csqa	es	en	n	n	0.5170	0.5260	0.5420	+0.0250	+0.0090	+0.0160
condition-2-ur-20k	ur	42	2	csqa	es	ur	n	y	0.4800	0.4830	0.5020	+0.0220	+0.0030	+0.0190
condition-2-ur-20k	ur	42	2	csqa	ur	en	n	n	0.4170	0.4197	0.3430	-0.0740	+0.0027	-0.0767
condition-2-ur-20k	ur	42	2	csqa	ur	ur	y	y	0.3920	0.3920	0.3520	-0.0400	+0.0000	-0.0400
condition-2-ur-20k	ur	42	2	csqa	zh	en	n	n	0.5320	0.5323	0.5270	-0.0050	+0.0003	-0.0053
condition-2-ur-20k	ur	42	2	csqa	zh	ur	n	y	0.4660	0.4663	0.5070	+0.0410	+0.0003	+0.0407
condition-2-ur-20k	ur	42	2	sib200	en	en	y	n	0.7206	0.7092	0.6912	-0.0294	-0.0114	-0.0180
condition-2-ur-20k	ur	42	2	sib200	en	ur	n	y	0.3971	0.4232	0.7157	+0.3186	+0.0261	+0.2925
condition-2-ur-20k	ur	42	2	sib200	es	en	n	n	0.6765	0.6585	0.6520	-0.0245	-0.0180	-0.0065
condition-2-ur-20k	ur	42	2	sib200	es	ur	n	y	0.3088	0.3693	0.6127	+0.3039	+0.0605	+0.2435
condition-2-ur-20k	ur	42	2	sib200	ur	en	n	n	0.6814	0.6667	0.5980	-0.0833	-0.0147	-0.0686
condition-2-ur-20k	ur	42	2	sib200	ur	ur	y	y	0.5294	0.5441	0.3382	-0.1912	+0.0147	-0.2059
condition-2-ur-20k	ur	42	2	sib200	zh	en	n	n	0.6961	0.6716	0.6520	-0.0441	-0.0245	-0.0196
condition-2-ur-20k	ur	42	2	sib200	zh	ur	n	y	0.3971	0.4853	0.6176	+0.2206	+0.0882	+0.1324
condition-2-ur-20k	ur	42	2	xnli	en	en	y	n	0.3786	0.3565	0.3615	-0.0172	-0.0222	+0.0050
condition-2-ur-20k	ur	42	2	xnli	en	ur	n	y	0.2589	0.2512	0.3415	+0.0826	-0.0077	+0.0904
condition-2-ur-20k	ur	42	2	xnli	es	en	n	n	0.3661	0.3547	0.3687	+0.0026	-0.0114	+0.0140
condition-2-ur-20k	ur	42	2	xnli	es	ur	n	y	0.3319	0.3191	0.3812	+0.0493	-0.0128	+0.0621
condition-2-ur-20k	ur	42	2	xnli	ur	en	n	n	0.3357	0.3330	0.3363	+0.0006	-0.0027	+0.0033
condition-2-ur-20k	ur	42	2	xnli	ur	ur	y	y	0.3228	0.3246	0.3910	+0.0683	+0.0019	+0.0664
condition-2-ur-20k	ur	42	2	xnli	zh	en	n	n	0.4649	0.4415	0.4577	-0.0072	-0.0234	+0.0162
condition-2-ur-20k	ur	42	2	xnli	zh	ur	n	y	0.3341	0.3365	0.4501	+0.1160	+0.0023	+0.1136
condition-2-ur-5k	ur	123	1	belebele	en	en	y	n	0.7678	0.7781	0.7889	+0.0211	+0.0104	+0.0107
condition-2-ur-5k	ur	123	1	belebele	en	ur	n	y	0.7411	0.7548	0.8011	+0.0600	+0.0137	+0.0463
condition-2-ur-5k	ur	123	1	belebele	es	en	n	n	0.6911	0.7000	0.7233	+0.0322	+0.0089	+0.0233
condition-2-ur-5k	ur	123	1	belebele	es	ur	n	y	0.6389	0.6422	0.7211	+0.0822	+0.0033	+0.0789
condition-2-ur-5k	ur	123	1	belebele	ur	en	n	n	0.6044	0.6130	0.6322	+0.0278	+0.0085	+0.0193
condition-2-ur-5k	ur	123	1	belebele	ur	ur	y	y	0.5289	0.5367	0.5733	+0.0444	+0.0078	+0.0367
condition-2-ur-5k	ur	123	1	belebele	zh	en	n	n	0.7500	0.7596	0.7722	+0.0222	+0.0096	+0.0126
condition-2-ur-5k	ur	123	1	belebele	zh	ur	n	y	0.7011	0.7144	0.7578	+0.0567	+0.0133	+0.0433
condition-2-ur-5k	ur	123	1	csqa	en	en	y	n	0.6070	0.6120	0.6090	+0.0020	+0.0050	-0.0030
condition-2-ur-5k	ur	123	1	csqa	en	ur	n	y	0.5850	0.5920	0.6070	+0.0220	+0.0070	+0.0150
condition-2-ur-5k	ur	123	1	csqa	es	en	n	n	0.5240	0.5303	0.5370	+0.0130	+0.0063	+0.0067
condition-2-ur-5k	ur	123	1	csqa	es	ur	n	y	0.4730	0.4823	0.4930	+0.0200	+0.0093	+0.0107
condition-2-ur-5k	ur	123	1	csqa	ur	en	n	n	0.4240	0.4237	0.4030	-0.0210	-0.0003	-0.0207
condition-2-ur-5k	ur	123	1	csqa	ur	ur	y	y	0.4040	0.4090	0.3770	-0.0270	+0.0050	-0.0320
condition-2-ur-5k	ur	123	1	csqa	zh	en	n	n	0.5450	0.5527	0.5610	+0.0160	+0.0077	+0.0083
condition-2-ur-5k	ur	123	1	csqa	zh	ur	n	y	0.4810	0.4820	0.4960	+0.0150	+0.0010	+0.0140
condition-2-ur-5k	ur	123	1	sib200	en	en	y	n	0.7549	0.7533	0.7647	+0.0098	-0.0016	+0.0114
condition-2-ur-5k	ur	123	1	sib200	en	ur	n	y	0.4951	0.4804	0.6078	+0.1127	-0.0147	+0.1275
condition-2-ur-5k	ur	123	1	sib200	es	en	n	n	0.7745	0.7582	0.7108	-0.0637	-0.0163	-0.0474
condition-2-ur-5k	ur	123	1	sib200	es	ur	n	y	0.5343	0.4935	0.5931	+0.0588	-0.0408	+0.0997
condition-2-ur-5k	ur	123	1	sib200	ur	en	n	n	0.7255	0.6895	0.6667	-0.0588	-0.0359	-0.0229
condition-2-ur-5k	ur	123	1	sib200	ur	ur	y	y	0.5735	0.5588	0.4412	-0.1324	-0.0147	-0.1176
condition-2-ur-5k	ur	123	1	sib200	zh	en	n	n	0.7892	0.7500	0.7402	-0.0490	-0.0392	-0.0098
condition-2-ur-5k	ur	123	1	sib200	zh	ur	n	y	0.5294	0.5245	0.7059	+0.1765	-0.0049	+0.1814
condition-2-ur-5k	ur	123	1	xnli	en	en	y	n	0.4998	0.5226	0.5054	+0.0056	+0.0228	-0.0172
condition-2-ur-5k	ur	123	1	xnli	en	ur	n	y	0.3816	0.4253	0.3441	-0.0375	+0.0436	-0.0812
condition-2-ur-5k	ur	123	1	xnli	es	en	n	n	0.4525	0.4687	0.4395	-0.0130	+0.0162	-0.0292
condition-2-ur-5k	ur	123	1	xnli	es	ur	n	y	0.3433	0.3516	0.3373	-0.0060	+0.0083	-0.0142
condition-2-ur-5k	ur	123	1	xnli	ur	en	n	n	0.4343	0.4375	0.3904	-0.0439	+0.0032	-0.0471
condition-2-ur-5k	ur	123	1	xnli	ur	ur	y	y	0.3327	0.3336	0.3351	+0.0024	+0.0009	+0.0015
condition-2-ur-5k	ur	123	1	xnli	zh	en	n	n	0.3906	0.4034	0.3988	+0.0082	+0.0128	-0.0046
condition-2-ur-5k	ur	123	1	xnli	zh	ur	n	y	0.3345	0.3373	0.3335	-0.0010	+0.0027	-0.0037
condition-2-ur-5k	ur	123	2	belebele	en	en	y	n	0.7822	0.7870	0.7956	+0.0133	+0.0048	+0.0085
condition-2-ur-5k	ur	123	2	belebele	en	ur	n	y	0.7489	0.7611	0.8111	+0.0622	+0.0122	+0.0500
condition-2-ur-5k	ur	123	2	belebele	es	en	n	n	0.7011	0.7096	0.7356	+0.0344	+0.0085	+0.0259
condition-2-ur-5k	ur	123	2	belebele	es	ur	n	y	0.6389	0.6456	0.7156	+0.0767	+0.0067	+0.0700
condition-2-ur-5k	ur	123	2	belebele	ur	en	n	n	0.6144	0.6200	0.6411	+0.0267	+0.0056	+0.0211
condition-2-ur-5k	ur	123	2	belebele	ur	ur	y	y	0.5233	0.5256	0.5711	+0.0478	+0.0022	+0.0456
condition-2-ur-5k	ur	123	2	belebele	zh	en	n	n	0.7589	0.7637	0.7733	+0.0144	+0.0048	+0.0096
condition-2-ur-5k	ur	123	2	belebele	zh	ur	n	y	0.7000	0.7093	0.7656	+0.0656	+0.0093	+0.0563
condition-2-ur-5k	ur	123	2	csqa	en	en	y	n	0.6070	0.6113	0.6120	+0.0050	+0.0043	+0.0007
condition-2-ur-5k	ur	123	2	csqa	en	ur	n	y	0.5790	0.5860	0.6120	+0.0330	+0.0070	+0.0260
condition-2-ur-5k	ur	123	2	csqa	es	en	n	n	0.5170	0.5260	0.5290	+0.0120	+0.0090	+0.0030
condition-2-ur-5k	ur	123	2	csqa	es	ur	n	y	0.4800	0.4830	0.4970	+0.0170	+0.0030	+0.0140
condition-2-ur-5k	ur	123	2	csqa	ur	en	n	n	0.4170	0.4197	0.3830	-0.0340	+0.0027	-0.0367
condition-2-ur-5k	ur	123	2	csqa	ur	ur	y	y	0.3920	0.3920	0.4070	+0.0150	+0.0000	+0.0150
condition-2-ur-5k	ur	123	2	csqa	zh	en	n	n	0.5320	0.5323	0.5420	+0.0100	+0.0003	+0.0097
condition-2-ur-5k	ur	123	2	csqa	zh	ur	n	y	0.4660	0.4663	0.5030	+0.0370	+0.0003	+0.0367
condition-2-ur-5k	ur	123	2	sib200	en	en	y	n	0.7206	0.7092	0.6863	-0.0343	-0.0114	-0.0229
condition-2-ur-5k	ur	123	2	sib200	en	ur	n	y	0.3971	0.4232	0.7059	+0.3088	+0.0261	+0.2827
condition-2-ur-5k	ur	123	2	sib200	es	en	n	n	0.6765	0.6585	0.6618	-0.0147	-0.0180	+0.0033
condition-2-ur-5k	ur	123	2	sib200	es	ur	n	y	0.3088	0.3693	0.6618	+0.3529	+0.0605	+0.2925
condition-2-ur-5k	ur	123	2	sib200	ur	en	n	n	0.6814	0.6667	0.6765	-0.0049	-0.0147	+0.0098
condition-2-ur-5k	ur	123	2	sib200	ur	ur	y	y	0.5294	0.5441	0.4706	-0.0588	+0.0147	-0.0735
condition-2-ur-5k	ur	123	2	sib200	zh	en	n	n	0.6961	0.6716	0.6765	-0.0196	-0.0245	+0.0049
condition-2-ur-5k	ur	123	2	sib200	zh	ur	n	y	0.3971	0.4853	0.6912	+0.2941	+0.0882	+0.2059
condition-2-ur-5k	ur	123	2	xnli	en	en	y	n	0.3786	0.3565	0.4387	+0.0601	-0.0222	+0.0822
condition-2-ur-5k	ur	123	2	xnli	en	ur	n	y	0.2589	0.2512	0.3860	+0.1271	-0.0077	+0.1349
condition-2-ur-5k	ur	123	2	xnli	es	en	n	n	0.3661	0.3547	0.4389	+0.0729	-0.0114	+0.0842
condition-2-ur-5k	ur	123	2	xnli	es	ur	n	y	0.3319	0.3191	0.4283	+0.0964	-0.0128	+0.1092
condition-2-ur-5k	ur	123	2	xnli	ur	en	n	n	0.3357	0.3330	0.3569	+0.0212	-0.0027	+0.0239
condition-2-ur-5k	ur	123	2	xnli	ur	ur	y	y	0.3228	0.3246	0.3723	+0.0495	+0.0019	+0.0476
condition-2-ur-5k	ur	123	2	xnli	zh	en	n	n	0.4649	0.4415	0.4954	+0.0305	-0.0234	+0.0540
condition-2-ur-5k	ur	123	2	xnli	zh	ur	n	y	0.3341	0.3365	0.4615	+0.1273	+0.0023	+0.1250
condition-2-ur-5k	ur	42	1	belebele	en	en	y	n	0.7678	0.7781	0.7911	+0.0233	+0.0104	+0.0130
condition-2-ur-5k	ur	42	1	belebele	en	ur	n	y	0.7411	0.7548	0.8056	+0.0644	+0.0137	+0.0507
condition-2-ur-5k	ur	42	1	belebele	es	en	n	n	0.6911	0.7000	0.7289	+0.0378	+0.0089	+0.0289
condition-2-ur-5k	ur	42	1	belebele	es	ur	n	y	0.6389	0.6422	0.7244	+0.0856	+0.0033	+0.0822
condition-2-ur-5k	ur	42	1	belebele	ur	en	n	n	0.6044	0.6130	0.6322	+0.0278	+0.0085	+0.0193
condition-2-ur-5k	ur	42	1	belebele	ur	ur	y	y	0.5289	0.5367	0.5789	+0.0500	+0.0078	+0.0422
condition-2-ur-5k	ur	42	1	belebele	zh	en	n	n	0.7500	0.7596	0.7778	+0.0278	+0.0096	+0.0181
condition-2-ur-5k	ur	42	1	belebele	zh	ur	n	y	0.7011	0.7144	0.7589	+0.0578	+0.0133	+0.0444
condition-2-ur-5k	ur	42	1	csqa	en	en	y	n	0.6070	0.6120	0.6100	+0.0030	+0.0050	-0.0020
condition-2-ur-5k	ur	42	1	csqa	en	ur	n	y	0.5850	0.5920	0.5960	+0.0110	+0.0070	+0.0040
condition-2-ur-5k	ur	42	1	csqa	es	en	n	n	0.5240	0.5303	0.5360	+0.0120	+0.0063	+0.0057
condition-2-ur-5k	ur	42	1	csqa	es	ur	n	y	0.4730	0.4823	0.4840	+0.0110	+0.0093	+0.0017
condition-2-ur-5k	ur	42	1	csqa	ur	en	n	n	0.4240	0.4237	0.4100	-0.0140	-0.0003	-0.0137
condition-2-ur-5k	ur	42	1	csqa	ur	ur	y	y	0.4040	0.4090	0.3530	-0.0510	+0.0050	-0.0560
condition-2-ur-5k	ur	42	1	csqa	zh	en	n	n	0.5450	0.5527	0.5600	+0.0150	+0.0077	+0.0073
condition-2-ur-5k	ur	42	1	csqa	zh	ur	n	y	0.4810	0.4820	0.4840	+0.0030	+0.0010	+0.0020
condition-2-ur-5k	ur	42	1	sib200	en	en	y	n	0.7549	0.7533	0.7745	+0.0196	-0.0016	+0.0212
condition-2-ur-5k	ur	42	1	sib200	en	ur	n	y	0.4951	0.4804	0.5245	+0.0294	-0.0147	+0.0441
condition-2-ur-5k	ur	42	1	sib200	es	en	n	n	0.7745	0.7582	0.7059	-0.0686	-0.0163	-0.0523
condition-2-ur-5k	ur	42	1	sib200	es	ur	n	y	0.5343	0.4935	0.4951	-0.0392	-0.0408	+0.0016
condition-2-ur-5k	ur	42	1	sib200	ur	en	n	n	0.7255	0.6895	0.6667	-0.0588	-0.0359	-0.0229
condition-2-ur-5k	ur	42	1	sib200	ur	ur	y	y	0.5735	0.5588	0.3824	-0.1912	-0.0147	-0.1765
condition-2-ur-5k	ur	42	1	sib200	zh	en	n	n	0.7892	0.7500	0.7206	-0.0686	-0.0392	-0.0294
condition-2-ur-5k	ur	42	1	sib200	zh	ur	n	y	0.5294	0.5245	0.6520	+0.1225	-0.0049	+0.1275
condition-2-ur-5k	ur	42	1	xnli	en	en	y	n	0.4998	0.5226	0.5399	+0.0401	+0.0228	+0.0173
condition-2-ur-5k	ur	42	1	xnli	en	ur	n	y	0.3816	0.4253	0.3760	-0.0056	+0.0436	-0.0492
condition-2-ur-5k	ur	42	1	xnli	es	en	n	n	0.4525	0.4687	0.4938	+0.0413	+0.0162	+0.0251
condition-2-ur-5k	ur	42	1	xnli	es	ur	n	y	0.3433	0.3516	0.3583	+0.0150	+0.0083	+0.0067
condition-2-ur-5k	ur	42	1	xnli	ur	en	n	n	0.4343	0.4375	0.4439	+0.0096	+0.0032	+0.0064
condition-2-ur-5k	ur	42	1	xnli	ur	ur	y	y	0.3327	0.3336	0.3363	+0.0036	+0.0009	+0.0027
condition-2-ur-5k	ur	42	1	xnli	zh	en	n	n	0.3906	0.4034	0.4481	+0.0575	+0.0128	+0.0447
condition-2-ur-5k	ur	42	1	xnli	zh	ur	n	y	0.3345	0.3373	0.3353	+0.0008	+0.0027	-0.0019
condition-2-ur-5k	ur	42	2	belebele	en	en	y	n	0.7822	0.7870	0.8000	+0.0178	+0.0048	+0.0130
condition-2-ur-5k	ur	42	2	belebele	en	ur	n	y	0.7489	0.7611	0.8111	+0.0622	+0.0122	+0.0500
condition-2-ur-5k	ur	42	2	belebele	es	en	n	n	0.7011	0.7096	0.7422	+0.0411	+0.0085	+0.0326
condition-2-ur-5k	ur	42	2	belebele	es	ur	n	y	0.6389	0.6456	0.7144	+0.0756	+0.0067	+0.0689
condition-2-ur-5k	ur	42	2	belebele	ur	en	n	n	0.6144	0.6200	0.6422	+0.0278	+0.0056	+0.0222
condition-2-ur-5k	ur	42	2	belebele	ur	ur	y	y	0.5233	0.5256	0.5856	+0.0622	+0.0022	+0.0600
condition-2-ur-5k	ur	42	2	belebele	zh	en	n	n	0.7589	0.7637	0.7800	+0.0211	+0.0048	+0.0163
condition-2-ur-5k	ur	42	2	belebele	zh	ur	n	y	0.7000	0.7093	0.7656	+0.0656	+0.0093	+0.0563
condition-2-ur-5k	ur	42	2	csqa	en	en	y	n	0.6070	0.6113	0.6110	+0.0040	+0.0043	-0.0003
condition-2-ur-5k	ur	42	2	csqa	en	ur	n	y	0.5790	0.5860	0.6020	+0.0230	+0.0070	+0.0160
condition-2-ur-5k	ur	42	2	csqa	es	en	n	n	0.5170	0.5260	0.5260	+0.0090	+0.0090	+0.0000
condition-2-ur-5k	ur	42	2	csqa	es	ur	n	y	0.4800	0.4830	0.4910	+0.0110	+0.0030	+0.0080
condition-2-ur-5k	ur	42	2	csqa	ur	en	n	n	0.4170	0.4197	0.3880	-0.0290	+0.0027	-0.0317
condition-2-ur-5k	ur	42	2	csqa	ur	ur	y	y	0.3920	0.3920	0.3690	-0.0230	+0.0000	-0.0230
condition-2-ur-5k	ur	42	2	csqa	zh	en	n	n	0.5320	0.5323	0.5480	+0.0160	+0.0003	+0.0157
condition-2-ur-5k	ur	42	2	csqa	zh	ur	n	y	0.4660	0.4663	0.4940	+0.0280	+0.0003	+0.0277
condition-2-ur-5k	ur	42	2	sib200	en	en	y	n	0.7206	0.7092	0.6912	-0.0294	-0.0114	-0.0180
condition-2-ur-5k	ur	42	2	sib200	en	ur	n	y	0.3971	0.4232	0.6863	+0.2892	+0.0261	+0.2631
condition-2-ur-5k	ur	42	2	sib200	es	en	n	n	0.6765	0.6585	0.6569	-0.0196	-0.0180	-0.0016
